step,updates,wall_time,env_steps_per_s,episodes,collect_ms,learn_ms,terminal_value_on,sim_buffer,param_err_mean,episode_reward,episode_length,goals_reached,dropped,mean_angle,plan_value,plan_value_max,plan_std,value_loss,reward_loss,pi_loss,pi_loss_q,pi_loss_prior,grad_norm,pi_grad_norm,q_scale,td_target_mean
2000,0,0.5104372501373291,3918.2093380957517,16,3.1172790040727705,0.0001500011421740055,0.0,0.0,0.09842465323380538,-573.6829509735107,115.5,0.0,0.125,2.0431453585624695,,,,,,,,,,,,
4000,3000,46.7251923084259,85.60692428180086,36,241.64192599710077,117.80123200151138,0.0,0.0,0.09842465323380538,-372.4814217885335,94.0,0.4444444444444444,0.5277777777777778,1.665073201060295,56.13410949707031,115.34608459472656,0.23560231924057007,1.1937540769577026,0.5979464054107666,0.3484242856502533,0.2996137738227844,0.37218016386032104,7.01834774017334,4.202229976654053,157.9209747314453,-40.371639251708984
6000,6000,92.63321614265442,64.77158248246555,60,239.63201901642606,115.87530400720425,0.0,0.0,0.09842465323380538,-246.215026028951,88.71666666666667,0.8,0.65,1.4924102713664373,40.52520751953125,134.28213500976562,0.2070402354001999,1.3892557621002197,0.6297317147254944,0.22332093119621277,0.17046701908111572,0.40301117300987244,9.873075485229492,3.678915023803711,227.43739318847656,-30.507001876831055
8000,9000,137.44802927970886,58.20381741319751,83,235.7102319947444,115.40369901922531,0.0,0.0,0.09842465323380538,-114.96732592582703,83.515625,1.28125,0.796875,1.2194986632093787,39.39853286743164,153.46617126464844,0.21446703374385834,1.2553741931915283,0.5898951888084412,0.16628551483154297,0.13250863552093506,0.2575487196445465,10.45005989074707,3.3150947093963623,244.0171356201172,-24.378347396850586
10000,12000,183.87158155441284,54.38578335739563,106,245.27667701477185,113.07988601038232,0.0,0.0,0.09842465323380538,-87.8712626695633,88.65625,1.4375,0.734375,1.22081683203578,36.77484893798828,87.90472412109375,0.2178560495376587,1.4278978109359741,0.5951353311538696,0.2457059919834137,0.12964823842048645,0.8849403858184814,12.248855590820312,3.6469085216522217,266.60260009765625,-27.0845947265625
12000,15000,230.74950766563416,52.00444465254726,130,246.4317980047781,114.46968800737523,0.0,0.0,0.09842465323380538,-74.03103286027908,85.6875,1.5625,0.765625,1.2030373215675354,58.223297119140625,173.3125762939453,0.24313710629940033,1.3465955257415771,0.5911402702331543,0.15507112443447113,0.12040263414382935,0.26434725522994995,10.467637062072754,2.7374038696289062,258.5343933105469,-20.146297454833984
14000,18000,276.073748588562,50.711087423471284,154,236.15082999458537,108.77460101619363,0.0,0.0,0.09842465323380538,-77.03108656406403,81.421875,1.40625,0.78125,1.2510462617501616,19.49843406677246,147.33963012695312,0.24536998569965363,1.2908260822296143,0.5898979902267456,0.15567192435264587,0.11635197699069977,0.2998146414756775,10.71439266204834,2.578214168548584,263.00128173828125,-19.868297576904297
16000,21000,322.05779814720154,49.680523471401706,176,227.31568198651075,117.3860180133488,0.0,0.0,0.09842465323380538,-102.69436520338058,81.875,1.3125,0.828125,1.261535513214767,16.4892578125,114.6338882446289,0.21696168184280396,1.205531358718872,0.59092116355896,0.16141058504581451,0.11809296905994415,0.3302968144416809,11.435359954833984,2.4324517250061035,283.1930236816406,-22.43592071533203
18000,24000,368.25419783592224,48.879279871834626,203,226.76674198010005,116.66777197388001,0.0,0.0,0.09842465323380538,-140.97479486465454,78.28125,1.140625,0.875,1.2617210755124688,28.999584197998047,145.01866149902344,0.2634424567222595,1.3204790353775024,0.603304386138916,0.23377889394760132,0.13521529734134674,0.7515474557876587,12.583647727966309,2.7253384590148926,273.1490173339844,-28.98324966430664
20000,27000,414.3866605758667,48.26410187095866,231,272.2242760064546,115.42447400279343,0.0,0.0,0.09842465323380538,-117.35853040218353,76.96875,1.15625,0.859375,1.2940957639366388,33.24247360229492,94.16796875,0.2652108073234558,1.2660356760025024,0.592232346534729,0.24892859160900116,0.13917586207389832,0.8368645906448364,8.916757583618164,2.591360330581665,275.455810546875,-28.011510848999023
