step,updates,wall_time,env_steps_per_s,episodes,collect_ms,learn_ms,terminal_value_on,sim_buffer,param_err_mean,episode_reward,episode_length,goals_reached,dropped,mean_angle,plan_value,plan_value_max,plan_std,value_loss,reward_loss,pi_loss,pi_loss_q,pi_loss_prior,grad_norm,pi_grad_norm,q_scale,td_target_mean
2000,0,0.5224220752716064,3828.3221453844635,16,3.270682005677372,0.0001600128598511219,0.0,0.0,0.09842465323380538,-587.3734436035156,112.0625,0.0,0.25,2.0569950342178345,,,,,,,,,,,,
4000,3000,46.63087558746338,85.78007488830839,35,243.12244402244687,114.52038201969117,0.0,124110.0,0.09842465323380538,-378.9215701511928,91.82857142857142,0.2857142857142857,0.6,1.8323827130453927,12.602372169494629,114.1799545288086,0.18629339337348938,1.611244559288025,1.5029810667037964,0.7078664302825928,0.057009898126125336,4.9627814292907715,9.18945598602295,8.174854278564453,186.05145263671875,0.7754229307174683
6000,6000,97.19196319580078,61.73349938320036,58,256.9352140126284,113.57172601856291,0.0,247542.0,0.09560410379610033,-262.5526931696925,88.10344827586206,0.6724137931034483,0.7068965517241379,1.6095595411185561,26.435287475585938,131.515625,0.2719884514808655,1.4941685199737549,1.4842755794525146,0.38769036531448364,-0.004424473270773888,2.9898757934570312,10.011444091796875,4.318570137023926,245.57061767578125,12.7139310836792
8000,9000,146.8083097934723,54.49282817337983,82,260.2153469924815,113.70842598262243,0.0,372230.0,0.09560410379610033,-51.83688870072365,85.46875,1.375,0.78125,1.2698226561769843,22.81913185119629,136.9283905029297,0.23183497786521912,1.2755470275878906,1.2735178470611572,0.21656474471092224,-0.05731236934661865,2.088313102722168,8.992655754089355,2.933091163635254,271.7409973144531,29.389577865600586
10000,12000,195.9143226146698,51.04272044299845,103,260.13844000408426,120.74652401497588,0.0,400000.0,0.09560410379610033,6.5794874131679535,87.109375,1.703125,0.78125,1.1690045427531004,13.881124496459961,83.72901916503906,0.2761015295982361,1.3384298086166382,1.3882231712341309,0.16233567893505096,-0.045476317405700684,1.584566593170166,9.316963195800781,2.49552059173584,275.95172119140625,24.598663330078125
12000,15000,248.29863452911377,48.32890049015941,128,276.29426200292073,120.52974101970904,0.0,400000.0,0.09542282057557107,66.96299803256989,86.140625,1.84375,0.78125,1.134708683937788,35.966617584228516,94.4836196899414,0.241715669631958,1.442726969718933,1.2209981679916382,0.2907509207725525,-0.0197833813726902,2.367824077606201,14.67817497253418,2.5353853702545166,289.6824645996094,21.244489669799805
14000,18000,298.4254162311554,46.91289427290547,148,267.3407669935841,120.52640999900177,0.0,400000.0,0.09542282057557107,78.72945368289948,85.5,1.875,0.796875,1.1353811249136925,35.90018081665039,136.4176025390625,0.2650516629219055,1.3008984327316284,1.1585804224014282,0.1410202980041504,-0.013974852859973907,1.1818381547927856,11.276479721069336,1.9220086336135864,300.3631286621094,19.28554916381836
16000,21000,351.08565402030945,45.57292448945931,173,262.4908549769316,124.05198402120732,0.0,400000.0,0.0978501851575896,129.66269308328629,86.484375,2.0,0.75,1.11993536259979,38.821319580078125,124.73643493652344,0.2831861972808838,1.3419357538223267,1.198847770690918,0.1710464209318161,-0.03969363495707512,1.6068930625915527,11.162812232971191,1.9496289491653442,296.9550476074219,23.16379165649414
18000,24000,401.074720621109,44.87941791027116,197,276.8769219983369,120.10299699613824,0.0,400000.0,0.0978501851575896,144.53075575828552,87.46875,2.0,0.796875,1.1243921667337418,26.949363708496094,93.72706604003906,0.2676522731781006,1.2245725393295288,1.227780818939209,0.11097723245620728,-0.07422570884227753,1.412172555923462,10.658632278442383,1.9836198091506958,311.29315185546875,35.958988189697266
20000,27000,450.5184123516083,44.39330214186884,222,260.7336239889264,120.52463399595581,0.0,400000.0,0.0978501851575896,104.89563390612602,83.984375,1.765625,0.796875,1.1484275152906775,15.368339538574219,112.93589782714844,0.2575073838233948,1.2651947736740112,1.2586007118225098,0.17004534602165222,-0.04662909358739853,1.6521427631378174,19.588638305664062,1.8265982866287231,307.7315979003906,31.309986114501953
