step,updates,wall_time,env_steps_per_s,episodes,collect_ms,learn_ms,terminal_value_on,sim_buffer,param_err_mean,episode_reward,episode_length,goals_reached,dropped,mean_angle,plan_value,plan_value_max,plan_std,value_loss,reward_loss,pi_loss,pi_loss_q,pi_loss_prior,grad_norm,pi_grad_norm,q_scale,td_target_mean
2000,0,0.7506797313690186,2664.2520324247857,16,4.4841819908469915,0.00023702159523963928,0.0,0.0,0.09842465323380538,-578.6929416656494,115.1875,0.0,0.1875,2.040055066347122,,,,,,,,,,,,
4000,3000,86.84257769584656,46.06035548610056,33,516.7135800002143,173.32497698953375,0.0,124592.0,0.09842465323380538,-372.32662599736994,100.45454545454545,0.48484848484848486,0.5151515151515151,1.8030139894196482,31.05524444580078,118.36783599853516,0.2096932977437973,1.731116533279419,1.7399870157241821,1.2445112466812134,-0.011478587985038757,2.511979579925537,9.086712837219238,4.47812032699585,202.9894561767578,18.284156799316406
6000,6000,178.49169206619263,33.61500992312255,57,564.5863719983026,174.19728997629136,0.0,248056.0,0.09925903294090224,-269.2268512458132,94.71929824561404,0.8245614035087719,0.6491228070175439,1.577524421507852,26.854732513427734,117.71886444091797,0.26956066489219666,1.6085323095321655,1.639830470085144,1.2431129217147827,0.07097092270851135,2.3442840576171875,10.255386352539062,3.815053701400757,233.9900665283203,-0.23618674278259277
8000,9000,269.1986436843872,29.71783174873395,76,558.5346629959531,176.09865800477564,0.0,372760.0,0.09925903294090224,-100.99866363406181,91.515625,1.34375,0.734375,1.3578424323350191,27.630611419677734,106.15308380126953,0.23150360584259033,1.3985624313354492,1.5385946035385132,1.217261791229248,0.02304430678486824,2.388434886932373,10.218560218811035,2.9880053997039795,238.25994873046875,9.673599243164062
10000,12000,361.2547342777252,27.68129812884945,101,556.5712599782273,176.1176860309206,0.0,400000.0,0.09925903294090224,-4.0220248103141785,89.203125,1.640625,0.75,1.1674342891201377,31.306949615478516,101.07910919189453,0.2594766914844513,1.4468743801116943,1.4627631902694702,1.2263507843017578,0.11165093630552292,2.2293996810913086,12.11704158782959,2.9070396423339844,257.48291015625,-9.493154525756836
12000,15000,456.09600138664246,26.310250393594966,120,529.3061969568953,175.92977598542348,0.0,400000.0,0.09839520655110215,44.58701092749834,91.359375,1.921875,0.6875,1.1380199240520597,10.19204044342041,53.86907958984375,0.2779996991157532,1.3980740308761597,1.3613221645355225,1.074284315109253,0.037995725870132446,2.0725772380828857,10.400689125061035,2.658587694168091,262.0144958496094,6.686197757720947
14000,18000,546.2253813743591,25.63044574159949,142,522.0856269588694,173.16709400620311,0.0,400000.0,0.09839520655110215,52.00331807881594,87.890625,1.875,0.734375,1.140318125486374,19.62427520751953,97.03460693359375,0.25148695707321167,1.2806000709533691,1.2746765613555908,1.2273353338241577,0.0962149128317833,2.2622408866882324,18.38023567199707,2.4982097148895264,275.8446960449219,-8.438190460205078
16000,21000,641.7560186386108,24.931593215037704,164,547.4109289934859,177.4186309776269,0.0,400000.0,0.10010122035329751,93.00537482649088,90.140625,1.984375,0.703125,1.1395537555217743,5.1241960525512695,81.3663330078125,0.21284812688827515,1.1621233224868774,1.234231948852539,1.0156916379928589,0.08307450264692307,1.865234375,11.477435111999512,2.0020456314086914,272.0901794433594,-4.6729021072387695
18000,24000,733.637006521225,24.535294484874434,191,545.6081729498692,174.48433599201962,0.0,400000.0,0.10010122035329751,92.99068599194288,89.390625,1.828125,0.703125,1.1340359020978212,29.557872772216797,127.63031768798828,0.2461758553981781,1.2461111545562744,1.2262554168701172,1.0302326679229736,0.07164072245359421,1.9171838760375977,10.448685646057129,2.034951686859131,265.2869567871094,-2.3609373569488525
20000,27000,825.5118079185486,24.22739421550873,212,564.2799100023694,174.79936900781468,0.0,400000.0,0.10010122035329751,96.75169544667006,90.703125,1.859375,0.703125,1.1183559522032738,18.596874237060547,131.55984497070312,0.21469807624816895,1.188207983970642,1.301069974899292,1.1494829654693604,0.09415462613105774,2.11065673828125,10.201045036315918,2.033782958984375,270.7462463378906,-8.841126441955566
22000,30000,925.5162024497986,23.770518486620784,229,583.2043429836631,175.2339020022191,1.0,400000.0,0.09809609810994814,159.55104901641607,94.0625,2.1875,0.65625,1.0946070002391934,122.36797332763672,207.61488342285156,0.1696539670228958,1.2413002252578735,1.320647120475769,1.1350759267807007,0.01712816208600998,2.2358956336975098,11.822566986083984,1.7807260751724243,305.525634765625,16.995811462402344
24000,33000,1022.5990514755249,23.46960909593062,247,695.4066989710554,176.83902598218992,1.0,400000.0,0.09809609810994814,183.72946128249168,99.078125,2.21875,0.546875,1.143554369919002,105.94820404052734,202.61965942382812,0.17497357726097107,1.2890491485595703,1.3000257015228271,1.1197991371154785,-0.09590001404285431,2.431398391723633,10.621075630187988,1.9625951051712036,315.8096008300781,48.50685119628906
26000,36000,1193.875477552414,21.777815600420137,264,600.8208330022171,176.16686702240258,1.0,400000.0,0.09809304206292736,273.50523080676794,106.515625,2.40625,0.375,1.157968983054161,145.04580688476562,223.28057861328125,0.18356865644454956,1.2969125509262085,1.5217626094818115,1.2179334163665771,-0.16783708333969116,2.771541118621826,9.670354843139648,1.9763388633728027,292.2364196777344,67.33695983886719
28000,39000,1291.4053177833557,21.681806334870025,281,606.1310360091738,176.73952400218695,1.0,400000.0,0.09809304206292736,359.65467765182257,111.703125,2.75,0.234375,1.1382091892883182,114.42733764648438,220.75064086914062,0.19168104231357574,1.3982561826705933,1.5299911499023438,1.2234359979629517,-0.1718762367963791,2.7906243801116943,12.67393970489502,2.050463914871216,295.6241760253906,68.96710968017578
30000,42000,1389.099229335785,21.596729280704356,297,584.0946219977923,174.6650179848075,1.0,400000.0,0.09809304206292736,361.8402996137738,112.203125,2.765625,0.21875,1.1579755935817957,132.75784301757812,217.17742919921875,0.17376983165740967,1.0508220195770264,1.3563042879104614,1.218796968460083,-0.1332811713218689,2.7041563987731934,7.32349157333374,1.9836422204971313,305.6086730957031,60.93077850341797
32000,45000,1488.9304275512695,21.49193770767917,317,593.6426859698258,174.8607199988328,1.0,400000.0,0.09350738507812402,404.91557282209396,115.609375,2.921875,0.140625,1.1367097925394773,127.81814575195312,211.22760009765625,0.16065537929534912,1.116647720336914,1.3240941762924194,1.158727765083313,-0.19946587085723877,2.7163872718811035,9.561216354370117,2.021998405456543,290.0522155761719,77.49566650390625
34000,48000,1585.6749231815338,21.44197370024723,335,606.0121820191853,169.93493598420173,1.0,400000.0,0.09350738507812402,403.025067910552,115.09375,2.890625,0.140625,1.1610425617545843,138.46588134765625,215.28204345703125,0.15617148578166962,1.1168056726455688,1.3750498294830322,1.1227220296859741,-0.22732321918010712,2.7000904083251953,10.046062469482422,1.8128989934921265,279.9755554199219,80.74726867675781
36000,51000,1685.2320828437805,21.36204287023247,354,581.6263679880649,176.7065259627998,1.0,400000.0,0.09360616039536919,417.8537660241127,113.5,2.828125,0.15625,1.167611668817699,163.63101196289062,250.48849487304688,0.18018174171447754,0.9706395268440247,1.3950895071029663,1.0578792095184326,-0.27539247274398804,2.666543483734131,6.724997043609619,1.8315292596817017,283.0035095214844,94.98014831542969
38000,54000,1781.623923778534,21.32885593465101,371,596.5484250336885,176.89631000394002,1.0,400000.0,0.09360616039536919,443.37182146310806,111.53125,2.84375,0.171875,1.15394770167768,127.43312072753906,218.44924926757812,0.17701119184494019,0.9290890097618103,1.3575176000595093,1.1284842491149902,-0.23877687752246857,2.7345223426818848,7.208625316619873,1.7218272686004639,286.5455017089844,85.79181671142578
40000,57000,1877.468094587326,21.3052888170609,388,596.2446779594757,170.27019703527912,1.0,400000.0,0.09360616039536919,476.55101603269577,112.625,3.09375,0.15625,1.0925687700510025,162.33921813964844,219.11502075195312,0.18596699833869934,0.9833477139472961,1.3409209251403809,1.0565297603607178,-0.3072812557220459,2.7276220321655273,7.996119499206543,1.6492737531661987,277.047607421875,100.33101654052734
42000,60000,1978.15145945549,21.231943489079953,404,602.8800359927118,176.78699700627476,1.0,400000.0,0.09329929804898127,493.7924579977989,114.03125,3.25,0.125,1.0948048727586865,158.8076629638672,200.81515502929688,0.20600509643554688,0.9171720743179321,1.4430750608444214,0.9684261679649353,-0.34342890977859497,2.6237101554870605,5.433732032775879,1.6298426389694214,269.24127197265625,109.3620834350586
44000,63000,2074.9777381420135,21.205046777706006,422,575.8797930320725,176.49305501254275,1.0,400000.0,0.09329929804898127,513.4662430286407,115.1875,3.3125,0.140625,1.1040766946971416,103.84030151367188,191.33901977539062,0.16470985114574432,1.0749784708023071,1.3400713205337524,0.9337285757064819,-0.27748799324035645,2.4224331378936768,6.949497222900391,1.4687947034835815,267.7344970703125,90.71566772460938
46000,66000,2174.2719342708588,21.156507277193956,439,590.3696719906293,176.98391899466515,1.0,400000.0,0.09397273073860851,477.9584685564041,115.8125,3.125,0.15625,1.1523315757513046,164.71524047851562,228.2858123779297,0.22886142134666443,1.0138558149337769,1.3214545249938965,0.9777843356132507,-0.26107150316238403,2.4777116775512695,9.841195106506348,1.4604021310806274,267.842529296875,88.4857406616211
48000,69000,2270.420196533203,21.141460982990353,458,549.0047059720382,175.86120899068192,1.0,400000.0,0.09397273073860851,458.6665894985199,113.921875,2.9375,0.203125,1.1900176145136356,93.78932189941406,212.6181640625,0.17778253555297852,1.1406992673873901,1.4791712760925293,0.9359842538833618,-0.2477504312992096,2.367469310760498,10.931962013244629,1.437822937965393,276.675048828125,87.87578582763672
50000,72000,2367.031715154648,21.123502351016576,477,610.8968709595501,175.23385700769722,1.0,400000.0,0.09397273073860851,378.0578002333641,110.34375,2.609375,0.3125,1.2313889032229781,154.50669860839844,209.42929077148438,0.1587754786014557,1.0689926147460938,1.4485574960708618,1.125251054763794,-0.26070278882980347,2.7719075679779053,7.1646928787231445,1.4225813150405884,277.3247985839844,89.57063293457031
52000,75000,2541.3162717819214,20.46183726810934,495,598.3316100318916,177.1818790002726,1.0,400000.0,0.09425349887110489,388.9598327279091,111.03125,2.734375,0.265625,1.1907239109277725,157.9014434814453,224.16574096679688,0.12516508996486664,1.207539439201355,1.36967134475708,1.044925332069397,-0.3015788495540619,2.6930084228515625,9.098443031311035,1.393019199371338,255.98532104492188,94.91288757324219
54000,78000,2637.67884349823,20.47254544771733,514,596.7571249930188,177.04208102077246,1.0,400000.0,0.09425349887110489,357.6076030135155,107.96875,2.6875,0.359375,1.17387293279171,145.35934448242188,211.72918701171875,0.16579405963420868,1.0603395700454712,1.4290757179260254,1.000255823135376,-0.32804781198501587,2.656607151031494,8.233123779296875,1.4418833255767822,262.7714538574219,103.79676055908203
56000,81000,2738.143496990204,20.451813450082433,533,600.7971960352734,174.54735498176888,1.0,400000.0,0.0951433829753705,364.2260781824589,108.765625,2.75,0.328125,1.142421754077077,172.16067504882812,238.01914978027344,0.1621697098016739,1.10137939453125,1.354527473449707,1.0186246633529663,-0.3183763027191162,2.674001932144165,8.402377128601074,1.4858671426773071,267.8793640136719,101.42868041992188
58000,84000,2833.4921345710754,20.469440974389663,550,596.0284329485148,168.09051402378827,1.0,400000.0,0.0951433829753705,360.73570039868355,106.9375,2.71875,0.359375,1.1278214883059263,138.7458953857422,235.05880737304688,0.1809420883655548,0.9447413682937622,1.3169069290161133,0.8787949085235596,-0.361488938331604,2.480567693710327,7.3691630363464355,1.38988196849823,258.40362548828125,110.43487548828125
60000,87000,2928.402215242386,20.48898873511942,567,590.3128670179285,175.95828097546473,1.0,400000.0,0.0951433829753705,400.14834156632423,110.25,2.8125,0.296875,1.1572434222325683,157.73277282714844,249.2537841796875,0.1980719417333603,1.0848335027694702,1.3416411876678467,0.9855661392211914,-0.3044452667236328,2.5800228118896484,7.7617011070251465,1.4452534914016724,283.6952209472656,103.46978759765625
62000,90000,3028.6885561943054,20.470906416969466,583,599.3685239809565,175.6242910050787,1.0,400000.0,0.09430563869123615,445.3124499619007,112.9375,2.75,0.1875,1.2198238391429186,152.8577117919922,229.74520874023438,0.24222664535045624,0.9602338075637817,1.3536665439605713,1.0235387086868286,-0.31248340010643005,2.672044277191162,5.651898384094238,1.3871324062347412,293.15594482421875,108.88321685791016
64000,93000,3125.1679985523224,20.478899063873317,600,603.1134870136157,174.35615201247856,1.0,400000.0,0.09430563869123615,464.96888476610184,115.25,2.890625,0.15625,1.1739278016611934,145.4495086669922,222.30926513671875,0.20445284247398376,1.0780121088027954,1.3578698635101318,1.0568723678588867,-0.2645215690135956,2.6427879333496094,7.50398063659668,1.3829634189605713,293.26373291015625,97.56118774414062
66000,96000,3225.389650583267,20.46264394383011,616,595.6954569555819,176.79007397964597,1.0,400000.0,0.09395692114622653,475.44036281108856,118.265625,2.953125,0.09375,1.1789567871019244,154.77688598632812,217.96926879882812,0.21061661839485168,1.036656141281128,1.3465927839279175,1.0290226936340332,-0.2991280257701874,2.656301498413086,7.2187371253967285,1.3272926807403564,285.8041076660156,102.38337707519531
68000,99000,3322.233227968216,20.46815961851868,633,577.6885179802775,167.1108939917758,1.0,400000.0,0.09395692114622653,478.0450849533081,117.34375,2.984375,0.109375,1.162539603188634,143.17514038085938,185.69192504882812,0.20792582631111145,1.0457960367202759,1.3893208503723145,0.9553627967834473,-0.3352491855621338,2.581223964691162,8.910614967346191,1.2879947423934937,267.3052673339844,108.99322509765625
70000,102000,3417.875279903412,20.480560075316202,655,612.6724840141833,174.92730100639164,1.0,400000.0,0.09395692114622653,446.03622555732727,114.828125,3.03125,0.203125,1.1187139125540853,139.73504638671875,189.76177978515625,0.11359413713216782,1.1098185777664185,1.3718096017837524,1.0873594284057617,-0.3111211657524109,2.7969613075256348,8.740182876586914,1.1949682235717773,264.7822570800781,98.23381042480469
72000,105000,3518.465039253235,20.463468926575267,673,606.5320770139806,174.9658240005374,1.0,400000.0,0.09476629630817589,450.5481560230255,112.796875,3.046875,0.25,1.0978785641491413,176.886962890625,229.77108764648438,0.1600038707256317,1.1532137393951416,1.384756088256836,0.8772153854370117,-0.351893812417984,2.4582183361053467,7.450849533081055,1.1716912984848022,257.1243896484375,105.25218963623047
74000,108000,3615.345730781555,20.4683052494686,689,575.820539961569,175.27153895935044,1.0,400000.0,0.09476629630817589,495.3686511516571,113.265625,3.296875,0.234375,1.0873066177591681,139.50559997558594,230.31622314453125,0.145455002784729,0.9909308552742004,1.3436267375946045,0.8657608032226562,-0.36608004570007324,2.463681697845459,5.745432376861572,1.1602602005004883,260.7638244628906,111.33611297607422
76000,111000,3783.0437552928925,20.08964339724268,705,590.5536849750206,171.02620500372723,1.0,400000.0,0.09466673539268866,500.65064430236816,114.09375,3.34375,0.203125,1.088017862290144,173.5595245361328,225.32908630371094,0.21791169047355652,0.9793168902397156,1.4156498908996582,0.8436555862426758,-0.40096619725227356,2.489243507385254,7.0919013023376465,1.1029136180877686,257.3930358886719,118.33367919921875
78000,114000,3879.4480459690094,20.10595297984385,725,571.4560869964771,171.04191600810736,1.0,400000.0,0.09466673539268866,536.2019695341587,114.25,3.5,0.1875,1.050497617572546,164.43331909179688,238.0294952392578,0.1395074725151062,1.0508185625076294,1.3043367862701416,1.0061302185058594,-0.3365122973918915,2.6852850914001465,7.481635570526123,1.1410974264144897,266.3305358886719,106.17333984375
80000,117000,3976.1190519332886,20.120121896526715,742,603.2192049897276,170.69862503558397,1.0,400000.0,0.09466673539268866,567.2332898676395,117.234375,3.515625,0.125,1.0519418651238084,162.06871032714844,213.75181579589844,0.16210031509399414,0.9566488265991211,1.5302228927612305,1.0064208507537842,-0.348732054233551,2.710305690765381,5.61375617980957,1.1343038082122803,272.67742919921875,111.6788330078125
82000,120000,4077.8484287261963,20.10864342636062,758,585.86071501486,168.77678298624232,1.0,400000.0,0.0971090545580435,609.3661724627018,117.75,3.5625,0.109375,1.0471077961847186,158.99575805664062,243.86978149414062,0.1366218775510788,0.9976007342338562,1.3623946905136108,0.8808267116546631,-0.3615128993988037,2.4846792221069336,6.4413981437683105,1.1219030618667603,263.2397766113281,111.94459533691406
84000,123000,4174.748131752014,20.120974331629384,774,588.1320720072836,168.71924803126603,1.0,400000.0,0.0971090545580435,605.2946569025517,117.359375,3.4375,0.109375,1.0614336030557752,159.65786743164062,199.06146240234375,0.21712127327919006,0.9985477328300476,1.3200974464416504,0.8765777349472046,-0.4265540540218353,2.6062636375427246,6.792787551879883,1.2504690885543823,242.21316528320312,118.39083099365234
86000,126000,4275.516525268555,20.114528733951776,791,638.8804049929604,176.27583298599347,1.0,400000.0,0.09795572120814171,641.9584506750107,118.015625,3.5625,0.078125,1.0492128860205412,172.00558471679688,201.38076782226562,0.18300801515579224,0.9324930310249329,1.3107866048812866,0.8038430213928223,-0.4320664703845978,2.4718189239501953,6.1631083488464355,1.036306381225586,237.5597381591797,117.77090454101562
88000,129000,4373.22354888916,20.122456356559415,807,609.6216620062478,176.00887297885492,1.0,400000.0,0.09795572120814171,646.7129452228546,118.53125,3.625,0.046875,1.0569789139553905,152.68096923828125,199.82696533203125,0.13675454258918762,0.8998081088066101,1.3079453706741333,0.6631048321723938,-0.4400530457496643,2.206315755844116,5.426173686981201,1.065730094909668,235.4108428955078,117.26654815673828
90000,132000,4469.803420543671,20.13511368002245,825,604.8894910491072,175.92298798263073,1.0,400000.0,0.09795572120814171,595.2632232904434,117.453125,3.515625,0.078125,1.069734449032694,156.62396240234375,201.64193725585938,0.1911935955286026,1.0046751499176025,1.4403733015060425,0.7858505249023438,-0.409067839384079,2.3898367881774902,5.523014545440674,1.097336769104004,246.10972595214844,116.73643493652344
92000,135000,4570.837127685547,20.1276040755765,842,595.0317119713873,170.69640499539673,1.0,400000.0,0.09773633545481082,558.4006239175797,117.296875,3.359375,0.09375,1.0796398748643696,140.52760314941406,195.7464599609375,0.1483812928199768,1.0094603300094604,1.3975011110305786,0.7083830237388611,-0.3961957097053528,2.2091574668884277,5.874519348144531,1.031053900718689,244.615966796875,113.00252532958984
94000,138000,4666.990515708923,20.1414594016421,860,578.5524389939383,174.78194000432268,1.0,400000.0,0.09773633545481082,497.0414743423462,116.28125,3.078125,0.109375,1.1179632623679936,140.89166259765625,221.4310302734375,0.18401408195495605,0.8895036578178406,1.3356887102127075,0.7716591358184814,-0.408526211977005,2.360370635986328,6.497364521026611,0.9514495730400085,239.6592559814453,113.45318603515625
96000,141000,4767.863600254059,20.134804190892662,876,605.7140580378473,174.94852398522198,1.0,400000.0,0.09692268743638544,497.06554985046387,116.96875,3.015625,0.078125,1.1007591751404107,157.26634216308594,210.29647827148438,0.12305941432714462,0.9133865237236023,1.398519515991211,0.7791293859481812,-0.4078451693058014,2.3739490509033203,7.499197006225586,0.9835943579673767,237.46641540527344,112.2874755859375
98000,144000,4864.650545835495,20.145331936308423,894,600.9658970288001,175.15176197048277,1.0,400000.0,0.09692268743638544,498.3775192499161,117.75,2.90625,0.046875,1.1221546484157443,164.22071838378906,199.81027221679688,0.18077847361564636,0.9661197662353516,1.3084142208099365,0.6560507416725159,-0.4146440625190735,2.1413896083831787,4.626777172088623,0.9140617847442627,246.12062072753906,116.94010925292969
100000,147000,4960.719796180725,20.158364936675184,910,581.1464270227589,176.7454969813116,1.0,400000.0,0.09692268743638544,538.8942616581917,117.75,3.109375,0.046875,1.0657026693224907,157.0587158203125,212.1327362060547,0.14558017253875732,0.9217460751533508,1.2709416151046753,0.6638145446777344,-0.4379386007785797,2.2035062313079834,5.006644248962402,0.9810959696769714,233.65994262695312,116.13530731201172
102000,150000,5132.961749792099,19.87156830150377,926,564.6929270005785,177.99403803655878,1.0,400000.0,0.09634439539348154,559.5920959115028,118.921875,3.25,0.046875,1.0383601617068052,127.6803207397461,198.2078857421875,0.19517505168914795,1.005280613899231,1.3619545698165894,0.8654893040657043,-0.3961407542228699,2.5232601165771484,6.124656677246094,0.9994603991508484,245.93275451660156,113.94456481933594
104000,153000,5228.750228643417,19.890030208419894,943,605.7211059960537,174.16920699179173,1.0,400000.0,0.09634439539348154,533.0017958283424,117.0,3.140625,0.09375,1.024381497874856,129.9654083251953,229.96047973632812,0.17741234600543976,1.0276235342025757,1.309608817100525,0.8290044665336609,-0.37054187059402466,2.399092674255371,7.144524574279785,0.9990617632865906,249.494384765625,107.06208801269531
106000,156000,5328.637324810028,19.89251539159292,960,590.2997389785014,177.29614698328078,1.0,400000.0,0.09978608386667466,508.8909325003624,117.46875,3.09375,0.09375,1.0158849777653813,167.034423828125,233.486083984375,0.17491191625595093,0.9523157477378845,1.4020411968231201,0.8306518793106079,-0.3979785442352295,2.457260847091675,5.560924530029297,0.9683889746665955,253.7910919189453,118.03816986083984
108000,159000,5425.842493772507,19.904742926827797,976,596.9968989957124,176.81005300255492,1.0,400000.0,0.09978608386667466,500.2609883546829,117.609375,3.078125,0.078125,1.042345474474132,153.41964721679688,211.75416564941406,0.15827229619026184,0.9959123730659485,1.410979151725769,0.7360610365867615,-0.3965739607810974,2.2652699947357178,5.214334011077881,0.8653594851493835,243.64422607421875,112.27560424804688
110000,162000,5523.476680994034,19.91499310180917,994,602.7286630123854,178.0741240363568,1.0,400000.0,0.09978608386667466,470.56705206632614,117.453125,3.03125,0.0625,1.0789878321811557,146.63241577148438,219.67837524414062,0.19235724210739136,1.0339478254318237,1.2357022762298584,0.8535480499267578,-0.3502616882324219,2.4076194763183594,7.713696479797363,0.9413902163505554,253.0983428955078,105.41329956054688
112000,165000,5622.9707725048065,19.918296667600945,1010,587.7782580209896,175.24033499648795,1.0,400000.0,0.10029281485678787,508.77900046110153,118.859375,3.25,0.03125,1.0636685052886605,151.5918426513672,226.0468292236328,0.15646937489509583,1.0695871114730835,1.3536038398742676,0.8563042879104614,-0.345487117767334,2.403582811355591,6.88134765625,0.931248664855957,246.9190673828125,101.63567352294922
114000,168000,5720.064424753189,19.92984545885056,1027,579.4770490028895,174.3493920075707,1.0,400000.0,0.10029281485678787,533.8273039460182,118.546875,3.359375,0.03125,1.0626178467646241,139.90391540527344,253.03099060058594,0.11716526746749878,1.0688904523849487,1.2530142068862915,0.7453092932701111,-0.39126473665237427,2.2731480598449707,6.095784664154053,0.9694573879241943,250.43650817871094,113.10420227050781
116000,171000,5820.584115743637,19.929271305647966,1043,588.729754963424,175.43129198020324,1.0,400000.0,0.10046345853212865,541.6537823081017,118.34375,3.3125,0.046875,1.0764407869428396,155.18206787109375,236.28457641601562,0.14611072838306427,0.9381276965141296,1.3635752201080322,0.8643497824668884,-0.40542155504226685,2.5395426750183105,4.635857105255127,0.8995535373687744,249.0226593017578,116.89810180664062
118000,174000,5916.115748643875,19.94551915706663,1061,651.160350011196,177.09520098287612,1.0,400000.0,0.10046345853212865,602.6503001451492,118.90625,3.4375,0.046875,1.0631035463884473,172.9053955078125,234.92481994628906,0.1583186686038971,0.9048066139221191,1.3394781351089478,0.6835991740226746,-0.4578266739845276,2.2828516960144043,4.165453910827637,0.9960607886314392,233.22010803222656,120.5338363647461
120000,177000,6011.751031637192,19.960906459448,1080,598.8494000048377,176.89306900138035,1.0,400000.0,0.10046345853212865,637.6747119426727,117.609375,3.546875,0.078125,1.0326403761282563,171.26315307617188,245.97821044921875,0.16495810449123383,1.023082971572876,1.2817394733428955,0.6543429493904114,-0.47682374715805054,2.262333393096924,8.26272201538086,0.8542307615280151,234.926025390625,125.84528350830078
122000,180000,6112.612587928772,19.95873257875469,1097,586.2060010549612,176.76165205193684,1.0,400000.0,0.09988662338658083,681.1066678762436,118.125,3.59375,0.046875,1.0441472446545959,168.6168212890625,252.20773315429688,0.17724278569221497,0.994175136089325,1.2134352922439575,0.6314003467559814,-0.479034423828125,2.220869541168213,6.968495845794678,0.9290410876274109,231.80746459960938,123.72441101074219
124000,183000,6210.358414649963,19.966641491655206,1114,593.1730960146524,176.73046397976577,1.0,400000.0,0.09988662338658083,703.1294524669647,118.34375,3.71875,0.046875,1.0235041864216328,188.953857421875,243.0237274169922,0.1662960946559906,0.8931764960289001,1.2237061262130737,0.6193201541900635,-0.492740660905838,2.224121570587158,5.033663749694824,0.8733450770378113,234.9993896484375,129.76193237304688
126000,186000,6379.465408563614,19.750871261228436,1132,588.3106570108794,179.36974199255928,1.0,400000.0,0.09890101091913968,715.9069492816925,118.34375,3.703125,0.046875,1.0268783885985613,183.32290649414062,234.15829467773438,0.17729519307613373,0.9094637036323547,1.2783170938491821,0.6820653676986694,-0.5421477556228638,2.4484262466430664,7.904162883758545,0.8881562948226929,224.03965759277344,133.2122039794922
128000,189000,6477.102594614029,19.76192257730133,1148,591.3587079849094,176.8986739916727,1.0,400000.0,0.09890101091913968,723.3896338939667,119.546875,3.78125,0.03125,1.019277554936707,175.33326721191406,254.11373901367188,0.14713770151138306,0.8843876123428345,1.2349884510040283,0.542493462562561,-0.5107543468475342,2.1064956188201904,6.721436023712158,0.7747155427932739,227.42491149902344,129.23472595214844
130000,192000,6573.959568500519,19.774992323180996,1164,579.9026120221242,178.20734000997618,1.0,400000.0,0.09890101091913968,749.6654040813446,119.546875,3.96875,0.03125,0.9934785952791572,166.94277954101562,207.7526397705078,0.18071851134300232,0.8835660815238953,1.1747360229492188,0.527445912361145,-0.5350868701934814,2.125065565109253,5.132527828216553,0.799744188785553,222.61245727539062,132.04368591308594
132000,195000,6674.41289973259,19.77702038860805,1180,593.2934259762987,178.26411494752392,1.0,400000.0,0.09615542810740682,768.2276842594147,119.90625,3.984375,0.015625,0.9776942329481244,171.3074188232422,201.65982055664062,0.13945817947387695,0.8978967666625977,1.2740293741226196,0.5733660459518433,-0.5291568040847778,2.205045700073242,4.637431621551514,0.8671784400939941,226.5851287841797,134.2401885986328
134000,198000,6769.972376585007,19.793286079491203,1197,579.0043579763733,176.0687740170397,1.0,400000.0,0.09615542810740682,776.6002628803253,119.84375,3.875,0.03125,1.0126534895971417,188.7080535888672,266.222900390625,0.20153333246707916,0.9917661547660828,1.314489722251892,0.6117445230484009,-0.5006123781204224,2.2247138023376465,7.196314334869385,0.8500882387161255,230.39024353027344,129.20001220703125
136000,201000,6870.452170848846,19.79491256442255,1214,567.7888629725203,177.29947599582374,1.0,400000.0,0.09644809248847441,760.3413145542145,119.578125,3.828125,0.03125,1.026103793643415,180.12338256835938,227.57847595214844,0.1494150459766388,0.9766396880149841,1.2490012645721436,0.5354584455490112,-0.5129894018173218,2.096895694732666,7.721889019012451,0.766495943069458,232.2210693359375,133.32720947265625
138000,204000,6967.606134414673,19.80594157272826,1231,624.8712959932163,177.07793397130445,1.0,400000.0,0.09644809248847441,743.5410792827606,119.578125,3.828125,0.03125,1.021962150465697,171.32769775390625,249.38211059570312,0.142039954662323,0.8520891070365906,1.2519241571426392,0.5303611755371094,-0.5652322769165039,2.1911869049072266,4.354192733764648,0.858683705329895,223.09207153320312,139.77667236328125
140000,207000,7065.743279218674,19.81390979937798,1247,625.6051940144971,179.02295995736495,1.0,400000.0,0.09644809248847441,766.5954203605652,119.578125,3.9375,0.03125,1.0163414306007326,173.83560180664062,222.916748046875,0.14933189749717712,0.9191285967826843,1.2924320697784424,0.5887331962585449,-0.5507879257202148,2.2790422439575195,5.257592678070068,0.8312332630157471,219.87322998046875,134.39974975585938
