step,updates,wall_time,env_steps_per_s,episodes,collect_ms,learn_ms,terminal_value_on,dagger_exec_frac,sim_buffer,param_err_mean,episode_reward,episode_length,goals_reached,dropped,mean_angle,plan_value,plan_value_max,plan_std,value_loss,reward_loss,pi_loss,pi_loss_q,pi_loss_prior,grad_norm,pi_grad_norm,q_scale,td_target_mean
2000,0,0.5898888111114502,3390.469461917174,16,5.5367969907820225,0.00015200930647552013,0.0,0.0,0.0,0.09842465323380538,-596.7983913421631,112.375,0.0,0.25,2.034584105014801,,,,,,,,,,,,
4000,3000,46.0410373210907,86.87901560740164,33,253.38387899682857,116.85262000537477,0.0,0.0,124784.0,0.09842465323380538,-456.84495209202623,95.21212121212122,0.12121212121212122,0.5454545454545454,1.8692901947281577,27.029769897460938,114.91382598876953,0.25016239285469055,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
6000,6000,95.03122401237488,63.13714321114801,57,274.96222499758005,109.54628197941929,0.0,0.0,248723.0,0.09549146901239787,-335.19074690969364,93.24561403508773,0.5789473684210527,0.6140350877192983,1.6627988532969826,-0.3446626663208008,57.03023910522461,0.368484228849411,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
8000,9000,142.8222153186798,56.013694943392146,77,266.6106839897111,112.57991200545803,0.0,0.0,373531.0,0.09549146901239787,-202.19437646865845,89.96875,0.890625,0.6875,1.490033463574946,14.078557968139648,76.69414520263672,0.37997323274612427,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
10000,12000,190.52241849899292,52.48726149281408,104,268.63061398034915,116.05706700356677,0.0,0.0,400000.0,0.09549146901239787,-87.93229925632477,84.984375,1.1875,0.765625,1.3291287552565336,8.293722152709961,96.78897094726562,0.37890899181365967,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
12000,15000,241.23790884017944,49.743425723152086,125,273.60436899471097,111.16101799416356,0.0,0.0,400000.0,0.0954918551368058,-36.1433499455452,83.734375,1.328125,0.796875,1.2568607535213232,21.317840576171875,109.68816375732422,0.3787652850151062,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
14000,18000,289.145587682724,48.41851508853745,146,267.26420799968764,111.89728599856608,0.0,0.0,400000.0,0.0954918551368058,-4.753369927406311,84.328125,1.53125,0.796875,1.2089852085337043,-8.54243278503418,113.400634765625,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
16000,21000,339.94216752052307,47.066829386601604,172,275.0785060052294,111.27189701073803,0.0,0.0,400000.0,0.09565036960084024,-1.3069148659706116,87.40625,1.5625,0.734375,1.1727998480200768,7.058294296264648,68.87129211425781,0.39854639768600464,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
18000,24000,387.7262282371521,46.42450958718823,196,271.98751000105403,110.4687049810309,0.0,0.0,400000.0,0.09565036960084024,-50.11902493238449,86.0625,1.40625,0.703125,1.1948832953348756,32.875244140625,86.29558563232422,0.34348970651626587,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
20000,27000,435.9268090724945,45.87926134332795,219,274.3968419963494,116.54923000605777,0.0,0.0,400000.0,0.09565036960084024,-51.985027089715004,84.453125,1.421875,0.734375,1.194191456772387,18.912702560424805,65.2367935180664,0.3280291259288788,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
22000,30000,488.9933285713196,44.9903888551545,260,293.8800440169871,115.55359399062581,1.0,0.0,400000.0,0.09589460383112001,-1289.6717478185892,68.53125,0.875,0.875,1.503893867135048,-10000.0,-10000.0,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
24000,33000,539.9667727947235,44.44717936213449,297,291.31657400284894,109.51734500122257,1.0,0.0,400000.0,0.09589460383112001,-2504.1685066223145,50.234375,0.0,1.0,1.867797166109085,-10000.0,-10000.0,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
26000,36000,618.1263349056244,42.06259874685598,341,300.19173098844476,120.63301799935289,1.0,0.0,400000.0,0.09534185554257947,-2452.34375,49.046875,0.0,1.0,1.8680920861661434,-10000.0,-10000.0,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
28000,39000,669.4290673732758,41.8266868958457,379,292.4006989924237,112.03826000564732,1.0,0.0,400000.0,0.09534185554257947,-2460.15625,49.203125,0.0,1.0,2.0099830478429794,-10000.0,-10000.0,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
30000,42000,720.8727705478668,41.61622026200248,421,294.3934770009946,111.37936098384671,1.0,0.0,400000.0,0.09534185554257947,-2475.0,49.5,0.0,1.0,2.11895321495831,-10000.0,-10000.0,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
32000,45000,774.7613842487335,41.30303942681602,461,296.5710530115757,110.165699996287,1.0,0.0,400000.0,0.0943375870001484,-2434.375,48.6875,0.0,1.0,1.8756692372262478,-10000.0,-10000.0,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
34000,48000,825.628734588623,41.18073726799347,503,297.64491101377644,111.60080300760455,1.0,0.0,400000.0,0.0943375870001484,-2465.625,49.3125,0.0,1.0,1.8699786495417356,-10000.0,-10000.0,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
36000,51000,879.5255591869354,40.931158422820225,539,288.2969460042659,114.45064298459329,1.0,0.0,400000.0,0.09470526569711088,-2485.15625,49.703125,0.0,1.0,1.896550266072154,-10000.0,-10000.0,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
38000,54000,930.772768497467,40.82629110576887,583,298.87156301992945,111.8951500102412,1.0,0.0,400000.0,0.09470526569711088,-2499.21875,49.984375,0.0,1.0,1.9299148628488183,-10000.0,-10000.0,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
40000,57000,982.1658625602722,40.72631876629222,622,293.718594009988,113.61010497785173,1.0,0.0,400000.0,0.09470526569711088,-2500.78125,50.015625,0.0,1.0,1.9205156601965427,-10000.0,-10000.0,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
42000,60000,1035.8481895923615,40.54648202506229,661,288.89059301582165,116.33402900770307,1.0,0.0,400000.0,0.09465798062813899,-2508.59375,50.171875,0.0,1.0,1.9743052534759045,-10000.0,-10000.0,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
44000,63000,1087.1483509540558,40.47285723368539,703,293.55524099082686,109.86090201186016,1.0,0.0,400000.0,0.09465798062813899,-2463.28125,49.265625,0.0,1.0,2.0328257121145725,-10000.0,-10000.0,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
46000,66000,1141.026431798935,40.314578802067444,743,301.08429500251077,111.53612399357371,1.0,0.0,400000.0,0.08990559957809793,-2442.1875,48.84375,0.0,1.0,1.933432455174625,-10000.0,-10000.0,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
48000,69000,1192.3335337638855,40.25719200270795,785,299.1111100127455,117.49063502065837,1.0,0.0,400000.0,0.08990559957809793,-2507.8125,50.15625,0.0,1.0,1.9181545535102487,-10000.0,-10000.0,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
50000,72000,1243.626547574997,40.20499570188272,823,305.1177450106479,111.30080700968392,1.0,0.0,400000.0,0.08990559957809793,-2495.3125,49.90625,0.0,1.0,2.017059238627553,-10000.0,-10000.0,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
52000,75000,1314.8987543582916,39.54677105567531,865,297.17277601594105,109.37628100509755,1.0,0.0,400000.0,0.09190370188124734,-2496.09375,49.921875,0.0,1.0,2.0310462303459644,-10000.0,-10000.0,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
54000,78000,1366.1381690502167,39.527480618993714,903,298.3358439814765,114.76491400389932,1.0,0.0,400000.0,0.09190370188124734,-2525.78125,50.515625,0.0,1.0,2.050991339609027,-10000.0,-10000.0,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
56000,81000,1420.165423631668,39.4320260641158,940,291.88988398527727,109.50000601587817,1.0,0.0,400000.0,0.09172410381597522,-2519.53125,50.390625,0.0,1.0,1.9986896319314837,-10000.0,-10000.0,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
58000,84000,1471.3894484043121,39.418523806120575,982,300.81139600952156,115.47707099816762,1.0,0.0,400000.0,0.09172410381597522,-2547.65625,50.953125,0.0,1.0,1.9998643966391683,-10000.0,-10000.0,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
60000,87000,1522.460964679718,39.409877423440065,1022,293.68178799632005,111.65331999654882,1.0,0.0,400000.0,0.09172410381597522,-2479.6875,49.59375,0.0,1.0,1.8816462736576796,-10000.0,-10000.0,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
62000,90000,1576.1629784107208,39.33603367750455,1062,292.66752299736254,113.96004501148127,1.0,0.0,400000.0,0.08895838689721375,-2456.25,49.125,0.0,1.0,1.9011358385905623,-10000.0,-10000.0,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
64000,93000,1627.0283427238464,39.33551636405798,1103,298.12021300313063,117.37144499784335,1.0,0.0,400000.0,0.08895838689721375,-2519.53125,50.390625,0.0,1.0,2.0120055954903364,-10000.0,-10000.0,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
66000,96000,1680.6301925182343,39.27098316680034,1141,299.7831900138408,107.8749269945547,1.0,0.0,400000.0,0.09097382238999716,-2523.4375,50.46875,0.0,1.0,2.0319930221885443,-10000.0,-10000.0,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
68000,99000,1731.7743644714355,39.26608534868493,1183,295.8879339857958,111.37204401893541,1.0,0.0,400000.0,0.09097382238999716,-2432.03125,48.640625,0.0,1.0,2.0022181859239936,-10000.0,-10000.0,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
70000,102000,1783.1428754329681,39.25652899967602,1224,299.27528797998093,112.56148101529106,1.0,0.0,400000.0,0.09097382238999716,-2407.8125,48.15625,0.0,1.0,1.9555234545841813,-10000.0,-10000.0,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
72000,105000,1836.5955576896667,39.202969700401496,1263,298.26367599889636,119.12786000175402,1.0,0.0,400000.0,0.0916712029836658,-2483.59375,49.671875,0.0,1.0,1.9591666897758842,-10000.0,-10000.0,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
74000,108000,1887.2726802825928,39.21002024409082,1304,291.17992098326795,111.88250497798435,1.0,0.0,400000.0,0.0916712029836658,-2503.125,50.0625,0.0,1.0,1.9186196075752378,-10000.0,-10000.0,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
76000,111000,1963.4266543388367,38.70783756146582,1345,296.70410900143906,116.74549599410966,1.0,0.0,400000.0,0.09200307684664762,-2442.96875,48.859375,0.0,1.0,1.910450573079288,-10000.0,-10000.0,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
78000,114000,2014.3360395431519,38.722436807361234,1385,297.1446980081964,111.78963599377312,1.0,0.0,400000.0,0.09200307684664762,-2446.09375,48.921875,0.0,1.0,2.0264194179326296,-10000.0,-10000.0,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
80000,117000,2065.489529132843,38.731738346592586,1424,294.7733789915219,114.25356799736619,1.0,0.0,400000.0,0.09200307684664762,-2528.90625,50.578125,0.0,1.0,2.0564568508416414,-10000.0,-10000.0,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
82000,120000,2118.988414287567,38.69771040138958,1467,304.37322199577466,120.22807300672866,1.0,0.0,400000.0,0.09516617054171284,-2547.65625,50.953125,0.0,1.0,2.0685079768300056,-10000.0,-10000.0,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
84000,123000,2169.950759410858,38.710555820541295,1505,294.2382430192083,112.981056998251,1.0,0.0,400000.0,0.09516617054171284,-2480.46875,49.609375,0.0,1.0,2.0611409870907664,-10000.0,-10000.0,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
86000,126000,2223.579442501068,38.67637843569364,1545,292.4795960134361,114.61976799182594,1.0,0.0,400000.0,0.09576319466292785,-2466.40625,49.328125,0.0,1.0,1.9935435000807047,-10000.0,-10000.0,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
88000,129000,2274.5228958129883,38.689432479221516,1586,297.71313100354746,113.53952900390141,1.0,0.0,400000.0,0.09576319466292785,-2479.6875,49.59375,0.0,1.0,2.0446019545197487,-10000.0,-10000.0,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
90000,132000,2325.4042444229126,38.70294819313662,1629,291.4566110121086,113.34731400711462,1.0,0.0,400000.0,0.09576319466292785,-2452.34375,49.046875,0.0,1.0,2.014551093801856,-10000.0,-10000.0,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
92000,135000,2379.3061153888702,38.666735400275996,1665,293.34114101948217,112.0702099869959,1.0,0.0,400000.0,0.09471902700952087,-2521.09375,50.421875,0.0,1.0,1.892605783417821,-10000.0,-10000.0,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
94000,138000,2430.312653541565,38.67815108604188,1709,301.0145789885428,115.2651849843096,1.0,0.0,400000.0,0.09471902700952087,-2487.5,49.75,0.0,1.0,1.9065910317003727,-10000.0,-10000.0,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
96000,141000,2484.1888761520386,38.64440458678093,1746,283.1855770200491,111.7918879899662,1.0,0.0,400000.0,0.09466676356224744,-2484.375,49.6875,0.0,1.0,2.043066844344139,-10000.0,-10000.0,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
98000,144000,2535.2392625808716,38.65512870774811,1789,298.9824599935673,115.47094100387767,1.0,0.0,400000.0,0.09466676356224744,-2419.53125,48.390625,0.0,1.0,1.925741153769195,-10000.0,-10000.0,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
100000,147000,2586.275455236435,38.66564166532605,1829,296.09699500724673,114.8585730115883,1.0,0.0,400000.0,0.09466676356224744,-2490.625,49.8125,0.0,1.0,1.8775903563946486,-10000.0,-10000.0,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
102000,150000,2657.72225356102,38.37872819980816,1870,299.5571320061572,111.47973401239142,1.0,0.0,400000.0,0.09443644251138043,-2500.0,50.0,0.0,1.0,1.893184619024396,-10000.0,-10000.0,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
104000,153000,2709.0202362537384,38.39026324285417,1910,298.81738100084476,115.56749101146124,1.0,0.0,400000.0,0.09443644251138043,-2435.15625,48.703125,0.0,1.0,1.9949817331507802,-10000.0,-10000.0,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
106000,156000,2762.6036088466644,38.369601654235524,1949,294.59777401643805,112.26615999476053,1.0,0.0,400000.0,0.09496346974776203,-2462.5,49.25,0.0,1.0,2.0016061197966337,-10000.0,-10000.0,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
108000,159000,2813.345569372177,38.38845862938236,1988,289.9794520053547,118.1853299785871,1.0,0.0,400000.0,0.09496346974776203,-2513.28125,50.265625,0.0,1.0,1.976452250033617,-10000.0,-10000.0,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
110000,162000,2864.337605714798,38.4032942836532,2028,306.1353170196526,119.92868900415488,1.0,0.0,400000.0,0.09496346974776203,-2560.15625,51.203125,0.0,1.0,1.8918949626386166,-10000.0,-10000.0,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
112000,165000,2918.2538216114044,38.37911533622381,2068,297.7627500076778,110.7412569981534,1.0,0.0,400000.0,0.0962091481371278,-2506.25,50.125,0.0,1.0,1.94490578584373,-10000.0,-10000.0,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
114000,168000,2969.3430874347687,38.392330102374665,2108,293.63842197926715,112.28295697947033,1.0,0.0,400000.0,0.0962091481371278,-2459.375,49.1875,0.0,1.0,1.8809271343052387,-10000.0,-10000.0,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
116000,171000,3023.142689704895,38.370666523624585,2149,295.5322900088504,113.23336701025255,1.0,0.0,400000.0,0.09657909022212395,-2489.0625,49.78125,0.0,1.0,1.9708903785794973,-10000.0,-10000.0,nan,nan,nan,nan,nan,-0.0,nan,nan,nan,nan
