step,updates,wall_time,env_steps_per_s,episodes,collect_ms,learn_ms,terminal_value_on,dagger_exec_frac,sim_buffer,param_err_mean,episode_reward,episode_length,goals_reached,dropped,mean_angle,plan_value,plan_value_max,plan_std,value_loss,reward_loss,pi_loss,pi_loss_q,pi_loss_prior,grad_norm,pi_grad_norm,q_scale,td_target_mean
2000,0,0.4721651077270508,4235.806431415004,16,2.9835559835191816,0.00016100239008665085,0.0,0.0,0.0,0.09842465323380538,-552.247241973877,110.125,0.0,0.25,2.0366364046931267,,,,,,,,,,,,
4000,3000,36.992002964019775,108.13147922513402,36,201.18717500008643,96.6757659916766,0.0,0.0,124640.0,0.09842465323380538,-344.15779378679065,97.63888888888889,0.3611111111111111,0.5555555555555556,1.7768350028329425,62.18110656738281,139.07101440429688,0.24041782319545746,1.7834522724151611,1.3246808052062988,0.7212128639221191,0.0482223778963089,5.131552696228027,11.94189739227295,6.528764247894287,178.65853881835938,1.284698724746704
6000,6000,73.7373993396759,81.36983476133499,59,199.19848299468867,89.59393898840062,0.0,0.0,247640.0,0.09842465323380538,-244.4933290643207,89.44067796610169,0.6610169491525424,0.711864406779661,1.581537215386407,35.793731689453125,103.77627563476562,0.2490520179271698,1.6026915311813354,1.4379653930664062,0.6552485227584839,-0.00944578181952238,5.068294525146484,14.433375358581543,5.086051940917969,241.08750915527344,17.117679595947266
8000,9000,109.95268487930298,72.75856891336252,81,194.75104799494147,96.30113799357787,0.0,0.0,371621.0,0.09842465323380538,-122.42844206094742,82.0625,1.046875,0.84375,1.3330043209716678,14.38319206237793,151.78024291992188,0.17237591743469238,1.5493849515914917,1.4002225399017334,0.522188127040863,0.028394807130098343,3.765174388885498,9.505741119384766,3.9691853523254395,263.17864990234375,5.90626335144043
10000,12000,146.21952557563782,68.39031901267595,109,195.12045799638145,95.94187198672444,0.0,0.0,400000.0,0.09842465323380538,-97.03460240364075,81.75,1.40625,0.84375,1.2062822105363011,50.850486755371094,154.29039001464844,0.24025605618953705,1.4166253805160522,1.4383363723754883,0.5844529271125793,0.0035718362778425217,4.429218769073486,7.900086879730225,3.559814691543579,284.5871887207031,12.92583179473877
12000,15000,183.31339836120605,65.46166350784056,134,200.03017599810846,91.70814300887287,0.0,0.0,400000.0,0.09842465323380538,-83.29862838983536,78.96875,1.4375,0.875,1.191888365894556,49.110660552978516,109.4595718383789,0.23681685328483582,1.5015796422958374,1.387061595916748,0.4352964758872986,0.035694584250450134,3.046964645385742,12.826839447021484,2.8038439750671387,283.7463684082031,2.0411577224731445
14000,18000,219.57130885124207,63.76060730905829,160,195.98937200498767,89.77118099574,0.0,0.0,400000.0,0.09842465323380538,-62.61752772331238,75.828125,1.421875,0.890625,1.1515447217971087,33.59129333496094,143.76199340820312,0.1984194964170456,1.2216999530792236,1.27919340133667,0.44801151752471924,0.03948947787284851,3.114980697631836,9.70708179473877,2.7156827449798584,281.4776916503906,4.294741630554199
16000,21000,256.0951871871948,62.47676957827666,184,193.81391600472853,90.13548100483604,0.0,0.0,400000.0,0.09842465323380538,-59.61040646582842,78.03125,1.4375,0.84375,1.1555835846811533,13.048545837402344,128.62933349609375,0.17584244906902313,1.4601776599884033,1.3132100105285645,0.5478482842445374,0.0029205195605754852,4.155074596405029,10.997607231140137,3.1091814041137695,272.21044921875,14.178508758544922
18000,24000,292.1552298069,61.61108261487257,213,197.6783699938096,95.1644090237096,0.0,0.0,400000.0,0.09842465323380538,-100.52561087161303,73.390625,1.265625,0.921875,1.2516085878014565,17.749608993530273,102.20822143554688,0.22890688478946686,1.3523885011672974,1.396270751953125,0.5414042472839355,0.01978740096092224,3.977328300476074,10.906695365905762,2.9712769985198975,274.94732666015625,8.636444091796875
20000,27000,328.3099322319031,60.91804735859443,242,199.1499410069082,94.98641602112912,0.0,0.0,400000.0,0.09842465323380538,-104.20047318935394,69.9375,1.125,0.953125,1.2690093657001853,37.5228385925293,90.41541290283203,0.20366030931472778,1.432191252708435,1.4327521324157715,0.5513241291046143,0.007030905224382877,4.150236129760742,9.928285598754883,3.2559194564819336,272.82830810546875,12.073185920715332
22000,30000,365.6459729671478,60.16748884576566,266,192.42201698943973,96.15202399436384,0.0,0.0,400000.0,0.09842465323380538,-63.373756885528564,76.53125,1.515625,0.90625,1.1329911854118109,29.551576614379883,122.60428619384766,0.2343297302722931,1.365756630897522,1.3597344160079956,0.5024507641792297,0.01345958560705185,3.72855806350708,12.191295623779297,3.0730702877044678,272.0601806640625,11.803468704223633
24000,33000,402.4528925418854,59.634308622846326,288,197.3814420052804,95.0486050278414,0.0,0.0,400000.0,0.09842465323380538,-17.01747654005885,81.609375,1.65625,0.84375,1.1359135238453746,46.80462646484375,164.2442626953125,0.21469976007938385,1.317004919052124,1.294575572013855,0.3839537501335144,-0.0068934205919504166,2.9802098274230957,10.994709968566895,2.6599340438842773,273.97467041015625,14.81524658203125
26000,36000,463.5178003311157,56.09277568504769,308,196.32765799178742,90.49205097835511,0.0,0.0,400000.0,0.09842465323380538,-14.055797021836042,87.46875,1.890625,0.796875,1.1619216427206993,9.25662899017334,79.51323699951172,0.26353469491004944,1.3340564966201782,1.3733627796173096,0.4649454355239868,-0.0017501004040241241,3.558553695678711,11.998671531677246,2.3701887130737305,272.6199951171875,12.87092399597168
28000,39000,499.9117338657379,56.009887552509426,336,199.06975599587895,89.52767599839717,0.0,0.0,400000.0,0.09842465323380538,-43.18001910671592,86.078125,1.6875,0.75,1.193150476552546,46.43529510498047,160.40992736816406,0.2002701759338379,1.3656965494155884,1.3036162853240967,0.4272076487541199,0.021643852815032005,3.092424154281616,11.02491569519043,2.0440149307250977,270.3108825683594,8.310381889343262
30000,42000,536.3092093467712,55.93787963577995,364,200.36166298086755,94.91826299927197,0.0,0.0,400000.0,0.09842465323380538,-53.37868554890156,81.015625,1.546875,0.796875,1.19784764200449,35.85134506225586,113.9780502319336,0.24792969226837158,1.3044239282608032,1.2268075942993164,0.6218463182449341,0.05599605292081833,4.314608573913574,9.763575553894043,2.8565518856048584,273.12188720703125,-0.5489420890808105
32000,45000,573.476654291153,55.80000469165335,382,193.19617201108485,95.00029697665013,0.0,0.0,400000.0,0.09842465323380538,-23.793220907449722,78.71875,1.546875,0.8125,1.196363853290677,7.561153411865234,105.4525375366211,0.24950337409973145,1.314707636833191,1.2794647216796875,0.5177291631698608,0.08638384938240051,3.289008140563965,11.759095191955566,2.441920757293701,270.619140625,-8.593218803405762
34000,48000,610.4037508964539,55.70083727379914,413,189.17133199283853,98.2619300193619,0.0,0.0,400000.0,0.09842465323380538,-11.402337178587914,76.515625,1.671875,0.8125,1.1844768282026052,33.352149963378906,166.5643310546875,0.21795062720775604,1.2788935899734497,1.3417224884033203,0.42002251744270325,0.005012256093323231,3.1644535064697266,8.48088264465332,2.3049991130828857,270.4625549316406,12.847043991088867
36000,51000,647.3639490604401,55.6101402499306,447,200.9602089819964,95.17279799911194,0.0,0.0,400000.0,0.09842465323380538,-24.878655686974525,71.546875,1.46875,0.859375,1.1989450342953205,30.678730010986328,137.09437561035156,0.18131592869758606,1.3495553731918335,1.4018512964248657,0.540640115737915,0.046222493052482605,3.76993465423584,13.39210033416748,2.2797839641571045,272.57373046875,0.9648145437240601
38000,54000,684.164942741394,55.542161876545514,471,196.06699899304658,95.40833797655068,0.0,0.0,400000.0,0.09842465323380538,-34.21805086731911,68.90625,1.28125,0.875,1.2607567803934216,38.59299087524414,141.25747680664062,0.2099621295928955,1.3759406805038452,1.2700133323669434,0.594283401966095,0.01723434217274189,4.399999618530273,10.139866828918457,2.2507388591766357,275.2692565917969,9.839914321899414
