step,updates,wall_time,env_steps_per_s,episodes,collect_ms,learn_ms,terminal_value_on,dagger_exec_frac,sim_buffer,param_err_mean,episode_reward,episode_length,goals_reached,dropped,mean_angle,plan_value,plan_value_max,plan_std,value_loss,reward_loss,pi_loss,pi_loss_q,pi_loss_prior,grad_norm,pi_grad_norm,q_scale,td_target_mean
2000,0,0.5886802673339844,3397.4299988983857,16,3.077484987443313,0.00018801074475049973,0.0,0.0,0.0,0.09842465323380538,-615.7627830505371,110.0,0.0,0.25,2.0396907329559326,,,,,,,,,,,,
4000,3000,46.380767583847046,86.2426434139713,34,245.54582400014624,110.2751879952848,0.0,0.0,0.0,0.09842465323380538,-411.9574317932129,99.0,0.5,0.5588235294117647,1.8062188143239302,43.611083984375,120.28604125976562,0.21095213294029236,1.4492379426956177,0.609931468963623,0.5013336539268494,0.30996689200401306,1.4591717720031738,9.591019630432129,7.438201904296875,112.92533874511719,-32.20314025878906
6000,6000,92.27810215950012,65.0208430774743,61,257.37299100728706,114.8098889971152,0.0,0.0,0.0,0.09842465323380538,-245.3181188614642,89.81967213114754,0.9016393442622951,0.6885245901639344,1.574401751404903,43.87173843383789,107.29391479492188,0.19803985953330994,1.4179075956344604,0.5773640871047974,0.19378060102462769,0.1292688250541687,0.49190229177474976,7.168919563293457,3.104482412338257,213.75559997558594,-21.59317398071289
8000,9000,137.9294114112854,58.000682509585765,79,250.8220559975598,116.05625200900249,0.0,0.0,0.0,0.09842465323380538,-102.92846316099167,87.109375,1.28125,0.78125,1.3865176890976727,48.3614616394043,183.13394165039062,0.21045631170272827,1.4946069717407227,0.6005889177322388,0.21369323134422302,0.11177178472280502,0.7771511077880859,11.870938301086426,3.830206871032715,241.67112731933594,-18.397632598876953
10000,12000,182.97148203849792,54.65332569091811,102,244.15467199287377,107.90994600392878,0.0,0.0,0.0,0.09842465323380538,-70.66868788003922,85.109375,1.25,0.8125,1.3207537829875946,13.305456161499023,124.96820831298828,0.203195720911026,1.3664377927780151,0.5957817435264587,0.13922296464443207,0.08866187185049057,0.3855283260345459,9.371830940246582,2.714815855026245,264.3954772949219,-14.933298110961914
12000,15000,229.18030905723572,52.36051931932384,129,255.52306999452412,112.04967001685873,0.0,0.0,0.0,0.09842465323380538,-79.3616509437561,87.234375,1.21875,0.828125,1.2901497902348638,24.57103157043457,107.79842376708984,0.23711693286895752,1.1719709634780884,0.5747972130775452,0.16938894987106323,0.06031586229801178,0.8316823244094849,11.943655967712402,3.5800094604492188,267.6718444824219,-8.998475074768066
14000,18000,274.4824948310852,51.005074143673575,151,242.9240470228251,109.75820798194036,0.0,0.0,0.0,0.09842465323380538,-63.218772292137146,80.34375,1.203125,0.859375,1.2864063754677773,5.277382850646973,113.75236511230469,0.21833878755569458,1.1042253971099854,0.6322762966156006,0.15457692742347717,0.05673641338944435,0.7460339069366455,7.799921989440918,2.787696123123169,275.87841796875,-7.968721389770508
16000,21000,320.58447003364563,49.90884305256829,180,249.86186498426832,114.04221298289485,0.0,0.0,0.0,0.09842465323380538,-33.74040001630783,78.734375,1.359375,0.84375,1.2212379341945052,34.068275451660156,177.92254638671875,0.23852750658988953,1.3101190328598022,0.6095073223114014,0.1424996554851532,0.046367790549993515,0.7330055236816406,9.147051811218262,2.5976390838623047,279.8254089355469,-4.9516682624816895
18000,24000,365.9862425327301,49.18217656334517,203,252.6476590137463,110.14899698784575,0.0,0.0,0.0,0.09842465323380538,-14.768215477466583,81.4375,1.546875,0.859375,1.1789967101067305,59.4993782043457,128.41171264648438,0.26442885398864746,1.311965823173523,0.6182207465171814,0.08434636890888214,0.03603485971689224,0.3683752417564392,9.186907768249512,2.0279719829559326,278.7434997558594,-1.4509363174438477
20000,27000,411.19239687919617,48.639031635295,224,252.6448389980942,107.89232602110133,0.0,0.0,0.0,0.09842465323380538,-19.2962948679924,83.53125,1.609375,0.84375,1.127821416594088,12.64232063293457,122.17323303222656,0.24745288491249084,1.3868342638015747,0.5831534266471863,0.12786751985549927,0.03173498064279556,0.7330107092857361,11.293437957763672,2.266829490661621,278.53619384765625,-2.5717692375183105
22000,30000,457.03491044044495,48.13636660446481,249,251.36071600718424,115.57234200881794,0.0,0.0,0.0,0.09842465323380538,-48.142901957035065,85.8125,1.46875,0.875,1.1590011548250914,40.2196159362793,132.18309020996094,0.24244190752506256,1.3672468662261963,0.5978736877441406,0.20929886400699615,0.09823162853717804,0.8468877077102661,10.487249374389648,2.547260284423828,262.1178283691406,-13.942072868347168
