step,updates,wall_time,env_steps_per_s,episodes,collect_ms,learn_ms,terminal_value_on,dagger_exec_frac,sim_buffer,param_err_mean,episode_reward,episode_length,goals_reached,dropped,mean_angle,plan_value,plan_value_max,plan_std,value_loss,reward_loss,pi_loss,pi_loss_q,pi_loss_prior,grad_norm,pi_grad_norm,q_scale,td_target_mean
2000,0,0.597393274307251,3347.878334116231,16,4.725039005279541,0.00014699617167934775,0.0,0.0,0.0,0.09842465323380538,-597.1124401092529,111.4375,0.0,0.25,2.041307672858238,,,,,,,,,,,,
4000,3000,44.89562201499939,89.09554697033981,37,253.9870799955679,101.52576099790167,0.0,0.0,123873.0,0.09842465323380538,-364.2051229348054,90.16216216216216,0.35135135135135137,0.5945945945945946,1.8949569028777045,52.18902587890625,121.8266372680664,0.21375873684883118,1.639172911643982,1.7153451442718506,1.1489756107330322,0.23771655559539795,2.2979512214660645,11.713947296142578,4.570193767547607,210.05307006835938,-3.1497793197631836
6000,6000,93.05581450462341,64.47743251660964,59,271.00469899596646,105.41980600100942,0.0,0.0,248367.0,0.09563281023108808,-290.538134081889,92.13559322033899,0.6440677966101694,0.6271186440677966,1.7038042060399459,41.52898406982422,134.36572265625,0.3084394335746765,1.642440676689148,1.6557458639144897,1.2778959274291992,0.289851576089859,2.5557918548583984,11.36976432800293,4.227176666259766,228.38771057128906,-15.181821823120117
8000,9000,140.57341265678406,56.90976585687892,80,285.6673269998282,102.18303099827608,0.0,0.0,372519.0,0.09563281023108808,-108.19240466505289,83.3125,1.09375,0.78125,1.4388268189504743,29.928524017333984,143.65557861328125,0.2187137007713318,1.5665216445922852,1.546924352645874,1.1883065700531006,0.2865767478942871,2.376613140106201,8.644576072692871,3.286574363708496,242.60572814941406,-12.384761810302734
10000,12000,188.17983651161194,53.14065622212895,103,272.86507099779556,99.60354400391225,0.0,0.0,400000.0,0.09563281023108808,9.96983015537262,90.0,1.59375,0.671875,1.1976421177387238,32.709144592285156,84.09980010986328,0.2109946608543396,1.4073752164840698,1.4642207622528076,1.104032278060913,0.268435537815094,2.208064556121826,13.184113502502441,2.751695394515991,255.44166564941406,-8.715384483337402
12000,15000,237.68645906448364,50.48667916225062,126,261.8082049957593,101.27167400059989,0.0,0.0,400000.0,0.0957960605344611,81.27836376428604,86.09375,1.71875,0.71875,1.1593764713034034,3.5370655059814453,127.84689331054688,0.2407655119895935,1.2096788883209229,1.488992691040039,1.1279206275939941,0.2846222519874573,2.2558412551879883,8.149894714355469,2.7618677616119385,257.4866638183594,-14.439492225646973
14000,18000,284.43331837654114,49.220675270772574,152,268.53534200199647,102.3262859962415,0.0,0.0,400000.0,0.0957960605344611,76.75517135858536,86.40625,1.71875,0.734375,1.2151224734261632,3.631514549255371,109.8299331665039,0.20340347290039062,1.1767760515213013,1.2638980150222778,1.0114853382110596,0.2913902699947357,2.022970676422119,8.828372955322266,2.2736263275146484,255.6530303955078,-16.447250366210938
16000,21000,334.27993965148926,47.864074693447485,172,280.41561500140233,99.9696419967222,0.0,0.0,400000.0,0.09816655566017343,52.47980119287968,86.375,1.640625,0.734375,1.2662044679746032,17.588289260864258,133.58837890625,0.19196510314941406,1.2648818492889404,1.2496987581253052,1.0916526317596436,0.2711058557033539,2.183305263519287,11.197842597961426,2.3868296146392822,244.51588439941406,-11.061225891113281
18000,24000,381.71936440467834,47.15506122691058,196,276.05473199946573,103.04872800043086,0.0,0.0,400000.0,0.09816655566017343,68.72704763710499,86.1875,1.75,0.703125,1.2213889509439468,20.435115814208984,108.177001953125,0.22535133361816406,1.1277745962142944,1.3452966213226318,1.087233304977417,0.2974227964878082,2.174466609954834,10.4151029586792,2.185481071472168,242.5512237548828,-16.36716651916504
20000,27000,429.0210020542145,46.61776440835557,220,281.8617580051068,101.78969299886376,0.0,0.0,400000.0,0.09816655566017343,51.39099998772144,86.640625,1.703125,0.765625,1.1846932247281075,7.228517532348633,93.97932434082031,0.1972895860671997,1.1549590826034546,1.1599868535995483,1.0783482789993286,0.2972358465194702,2.1566965579986572,9.832886695861816,2.3089852333068848,255.63763427734375,-19.594308853149414
