step,updates,wall_time,env_steps_per_s,episodes,collect_ms,learn_ms,terminal_value_on,sim_buffer,param_err_mean,episode_reward,episode_length,goals_reached,dropped,mean_angle,plan_value,plan_value_max,plan_std,value_loss,reward_loss,pi_loss,pi_loss_q,pi_loss_prior,grad_norm,pi_grad_norm,q_scale,td_target_mean
2000,0,0.7633564472198486,2620.0080018764743,16,4.323228960856795,0.0005289912223815918,0.0,0.0,0.09842465323380538,-581.5176982879639,112.5,0.0,0.1875,2.0411055833101273,,,,,,,,,,,,
4000,3000,110.47629070281982,36.20686370399566,36,524.8412060318515,182.22383601823822,0.0,124528.0,0.09842465323380538,-409.7101336585151,94.86111111111111,0.2222222222222222,0.5277777777777778,1.8303336302439372,45.41569137573242,102.19497680664062,0.2057742178440094,1.7228174209594727,1.6272988319396973,2.7605128288269043,0.24808695912361145,1.3802564144134521,8.37122917175293,16.337858200073242,191.20877075195312,-5.475841999053955
6000,6000,202.26481008529663,29.664082434654617,55,567.4934390117414,181.10853800317273,0.0,249616.0,0.10097994484059673,-314.50872067538177,92.98181818181818,0.4909090909090909,0.5636363636363636,1.635827496918765,25.787670135498047,85.0718002319336,0.22414010763168335,1.6263798475265503,1.663759708404541,2.7008166313171387,0.2558486759662628,1.3504083156585693,12.28408145904541,13.462637901306152,251.79489135742188,-8.476981163024902
8000,9000,294.3327784538269,27.18011919034356,75,550.2146490034647,172.6978340302594,0.0,375136.0,0.10097994484059673,-126.18198490142822,92.46875,1.0625,0.609375,1.3887027632445097,8.99038314819336,77.5439224243164,0.22904077172279358,1.2933683395385742,1.4167330265045166,2.5527398586273193,0.2630802094936371,1.2763699293136597,9.289097785949707,10.94699764251709,250.68408203125,-7.853738307952881
10000,12000,385.49364376068115,25.94076494347625,99,526.69239602983,168.81816397653893,0.0,400000.0,0.10097994484059673,-6.987498760223389,92.921875,1.546875,0.609375,1.2013148944824934,18.392377853393555,92.8059310913086,0.22262150049209595,1.4211896657943726,1.4319205284118652,2.4938511848449707,0.24198484420776367,1.2469255924224854,11.843873977661133,10.901141166687012,256.68109130859375,-4.106667518615723
12000,15000,479.43849420547485,25.029279344551572,117,535.1872420287691,171.15559102967381,0.0,400000.0,0.0965158640020142,40.50787679851055,97.34375,1.765625,0.5625,1.1513367807492614,33.397457122802734,124.08042907714844,0.22538048028945923,1.205865740776062,1.4471021890640259,2.0195655822753906,0.24645330011844635,1.0097827911376953,9.320101737976074,7.7787885665893555,269.4476318359375,-3.8926000595092773
14000,18000,595.3458383083344,23.51574345389022,140,659.2003969708458,667.2328099957667,0.0,400000.0,0.0965158640020142,35.0915704742074,93.671875,1.640625,0.625,1.162410555407405,30.351564407348633,117.7450180053711,0.23392195999622345,1.141548752784729,1.2865374088287354,1.810462236404419,0.3006877601146698,0.9052311182022095,16.363330841064453,8.228263854980469,266.388916015625,-19.286033630371094
16000,21000,701.6582651138306,22.80312339426987,160,539.392135979142,170.05995503859594,0.0,400000.0,0.10191541220646311,42.997547537088394,97.546875,1.6875,0.59375,1.1922358646988869,32.360382080078125,135.5902557373047,0.23058773577213287,1.1253248453140259,1.4638497829437256,1.8092342615127563,0.2866821587085724,0.9046171307563782,11.806096076965332,7.090591907501221,260.09796142578125,-16.03896141052246
18000,24000,791.5128831863403,22.741259659019835,183,575.9449179749936,230.75978102860972,0.0,400000.0,0.10191541220646311,42.8019053786993,91.8125,1.625,0.6875,1.2263990538194776,14.018572807312012,93.02397155761719,0.2307509332895279,1.271614909172058,1.199873447418213,1.8451852798461914,0.31405627727508545,0.9225926399230957,10.933026313781738,6.7582292556762695,257.7494201660156,-20.427001953125
20000,27000,882.3452808856964,22.66686345273365,206,564.5109529723413,211.10324800247326,0.0,400000.0,0.10191541220646311,41.71741222590208,92.265625,1.71875,0.71875,1.257161371409893,14.208813667297363,96.6290283203125,0.2283187210559845,1.2015697956085205,1.33742094039917,1.8798949718475342,0.3377421498298645,0.9399474859237671,11.80741024017334,6.118014335632324,261.5907287597656,-27.4952392578125
