step,updates,wall_time,env_steps_per_s,episodes,collect_ms,learn_ms,terminal_value_on,dagger_exec_frac,sim_buffer,param_err_mean,episode_reward,episode_length,goals_reached,dropped,mean_angle,plan_value,plan_value_max,plan_std,value_loss,reward_loss,pi_loss,pi_loss_q,pi_loss_prior,grad_norm,pi_grad_norm,q_scale,td_target_mean
2000,0,0.5947599411010742,3362.70125438747,16,3.1383580062538385,0.00018801074475049973,0.0,0.0,0.0,0.09842465323380538,-572.8021984100342,113.375,0.0,0.1875,2.0369880124926567,,,,,,,,,,,,
4000,3000,45.38003087043762,88.14449711196121,36,253.00591200357303,101.3658169831615,0.0,0.0,124184.0,0.09842465323380538,-394.9878239631653,92.61111111111111,0.3611111111111111,0.5555555555555556,1.7516891757647197,36.322959899902344,130.17538452148438,0.18718738853931427,1.9066393375396729,1.7870187759399414,3.06074857711792,0.22497621178627014,1.53037428855896,8.167561531066895,14.820446968078613,177.0279541015625,-0.1063985824584961
6000,6000,93.77280807495117,63.98443347461976,61,275.92366898898035,105.2814309950918,0.0,0.0,247263.0,0.09504381349261046,-301.1276528092681,89.95081967213115,0.6557377049180327,0.6885245901639344,1.5691116276334545,20.476062774658203,113.01768493652344,0.26610034704208374,1.5847704410552979,1.695268154144287,2.5799295902252197,0.3394447863101959,1.2899647951126099,8.151909828186035,12.508663177490234,206.10923767089844,-24.832422256469727
8000,9000,141.12597274780273,56.686943191500916,82,276.4237349911127,111.01285900804214,0.0,0.0,372215.0,0.09504381349261046,-145.7126828432083,82.109375,0.984375,0.796875,1.3704105159267783,25.64136505126953,97.85586547851562,0.21177801489830017,1.4291383028030396,1.477635145187378,2.513190984725952,0.293155312538147,1.256595492362976,8.704425811767578,10.90132999420166,226.85971069335938,-15.106489181518555
10000,12000,187.97989964485168,53.19717703271939,106,276.2082940025721,101.7876609985251,0.0,0.0,400000.0,0.09504381349261046,-67.15098723769188,84.703125,1.21875,0.765625,1.3267617290839553,31.859893798828125,110.10235595703125,0.2672313451766968,1.4571059942245483,1.5753384828567505,2.293877124786377,0.3460104465484619,1.1469385623931885,8.731504440307617,10.228960990905762,234.96243286132812,-27.524259567260742
12000,15000,237.4682936668396,50.533061970940906,127,278.3142820117064,101.36576599325053,0.0,0.0,400000.0,0.09834355289056605,-29.266898214817047,87.53125,1.375,0.671875,1.2948993183672428,14.277953147888184,81.77870178222656,0.2599160671234131,1.2940186262130737,1.289168119430542,2.027188777923584,0.32573556900024414,1.013594388961792,9.88092041015625,7.498589992523193,238.50604248046875,-22.29596710205078
14000,18000,284.2794461250305,49.2473170003384,149,267.82080699922517,99.30822098976932,0.0,0.0,400000.0,0.09834355289056605,13.655295044183731,89.390625,1.484375,0.703125,1.295810541138053,26.399938583374023,117.45587921142578,0.20330595970153809,1.1918389797210693,1.363356351852417,2.0345077514648438,0.2942492365837097,1.0172538757324219,12.11074447631836,7.2469096183776855,252.10165405273438,-15.936442375183105
16000,21000,334.25579023361206,47.86753279222947,169,278.70543600874953,101.52923001442105,0.0,0.0,400000.0,0.09876208642539973,-6.1031785905361176,90.0,1.453125,0.703125,1.2987901158630848,19.266326904296875,93.529052734375,0.21771615743637085,1.3159054517745972,1.3758327960968018,2.1869137287139893,0.32541704177856445,1.0934568643569946,10.462416648864746,7.900209903717041,258.5231018066406,-24.528865814208984
18000,24000,381.1407833099365,47.226643771057,193,272.8557299997192,100.95964898937382,0.0,0.0,400000.0,0.09876208642539973,9.740320689976215,90.78125,1.515625,0.6875,1.3204094944521785,35.506690979003906,123.70109558105469,0.22417044639587402,1.150234580039978,1.2041022777557373,1.9102905988693237,0.29021093249320984,0.9551452994346619,8.118821144104004,6.794554710388184,257.2301940917969,-14.739752769470215
20000,27000,428.2464048862457,46.70208499546555,213,270.528496010229,106.49080999428406,0.0,0.0,400000.0,0.09876208642539973,10.915375716984272,90.6875,1.578125,0.6875,1.2468799008056521,17.6898136138916,102.48541259765625,0.2236723005771637,1.1822758913040161,1.194920301437378,1.8658859729766846,0.27071613073349,0.9329429864883423,17.872947692871094,5.6187944412231445,256.97052001953125,-13.064750671386719
22000,30000,479.2551929950714,45.90456258285394,234,282.5981699861586,100.35015601897612,1.0,0.0,400000.0,0.09878014326450815,6.235333688557148,94.625,1.65625,0.640625,1.2277624988928437,110.0596923828125,237.43765258789062,0.16598232090473175,1.2934331893920898,1.374621033668518,2.665501356124878,0.22684571146965027,1.332750678062439,10.373392105102539,7.110430717468262,285.12457275390625,-0.26393985748291016
24000,33000,527.1259171962738,45.52991840669384,255,274.1148759960197,105.20669599645771,1.0,0.0,400000.0,0.09878014326450815,35.217958241701126,94.375,1.640625,0.59375,1.2125962693244219,113.21255493164062,199.19186401367188,0.1824396848678589,1.314015507698059,1.4311645030975342,3.14158296585083,0.22652599215507507,1.570791482925415,8.814826011657715,7.518887042999268,300.6109924316406,1.8084077835083008
26000,36000,611.3315191268921,42.53011530819379,274,289.29160299594514,107.2477429988794,1.0,0.0,400000.0,0.09627706284301486,87.97032418847084,97.984375,1.9375,0.515625,1.2041400438174605,126.83200073242188,180.79507446289062,0.177947998046875,1.2346692085266113,1.5406079292297363,4.340870380401611,0.07643269747495651,2.1704351902008057,8.186829566955566,7.640562534332275,297.9403991699219,46.62406921386719
28000,39000,659.9756026268005,42.42581072475385,291,292.78519499348477,106.3911730016116,1.0,0.0,400000.0,0.09627706284301486,161.70070791244507,100.984375,2.203125,0.4375,1.1857649385929108,100.6827392578125,204.4297637939453,0.16638174653053284,1.2025718688964844,1.411503791809082,4.189545631408691,0.04137495160102844,2.0947728157043457,8.555938720703125,7.786891937255859,296.17425537109375,58.51128387451172
30000,42000,708.9219000339508,42.31777858543131,308,291.26217699376866,101.46435000933707,1.0,0.0,400000.0,0.09627706284301486,261.4133374094963,107.265625,2.546875,0.328125,1.1220160908997059,116.42134094238281,229.62152099609375,0.16998162865638733,1.2873256206512451,1.271873950958252,3.891901969909668,0.10993210971355438,1.945950984954834,9.507512092590332,7.012495517730713,333.95782470703125,39.833656311035156
32000,45000,760.9013350009918,42.05538685243375,326,285.39817899581976,106.83591201086529,1.0,0.0,400000.0,0.09590615470316313,344.2172412574291,112.78125,2.71875,0.21875,1.1276644514873624,137.73764038085938,203.6715087890625,0.1918158233165741,1.2187057733535767,1.5178539752960205,3.7308743000030518,-0.005466092377901077,1.8654371500015259,14.528144836425781,6.658731460571289,298.6947937011719,69.63224792480469
34000,48000,809.8193092346191,41.98467437400853,344,292.173249006737,104.89991900976747,1.0,0.0,400000.0,0.09590615470316313,364.699105322361,115.25,2.828125,0.1875,1.1098841279745102,168.64959716796875,233.13494873046875,0.22227886319160461,1.017849326133728,1.3212988376617432,4.0743560791015625,-0.018899329006671906,2.0371780395507812,7.387592315673828,7.4538750648498535,299.29742431640625,73.32334899902344
36000,51000,861.929648399353,41.766749834924255,361,292.3890629899688,102.08241498912685,1.0,0.0,400000.0,0.09547695890538037,417.10102623701096,117.3125,3.015625,0.140625,1.0763782039284706,124.13592529296875,226.97760009765625,0.2023397535085678,1.1246412992477417,1.453641653060913,3.7674760818481445,-0.027138173580169678,1.8837380409240723,9.394953727722168,6.879073143005371,283.54937744140625,73.03170776367188
38000,54000,911.256240606308,41.70067463649582,377,295.2479879895691,102.51990400138311,1.0,0.0,400000.0,0.09547695890538037,411.6588065624237,117.796875,3.015625,0.125,1.0710377423092723,131.96585083007812,228.5568389892578,0.17584948241710663,1.1648141145706177,1.3377983570098877,3.863532304763794,-0.07408362627029419,1.931766152381897,8.795833587646484,6.638315200805664,279.504638671875,82.91934204101562
40000,57000,960.5671424865723,41.6420656409858,393,285.29865402379073,112.65909200301394,1.0,0.0,400000.0,0.09547695890538037,430.83250442147255,117.1875,3.09375,0.140625,1.0800209799781442,131.7965087890625,250.024169921875,0.2026779055595398,1.028509497642517,1.3256593942642212,3.8693618774414062,-0.07797788083553314,1.9346809387207031,6.6195220947265625,6.295201301574707,282.2964782714844,85.81417083740234
42000,60000,1012.4465556144714,41.483671179571026,411,292.1515830093995,99.34638300910592,1.0,0.0,400000.0,0.09632516738102055,436.10035356879234,118.359375,2.984375,0.09375,1.1565337600186467,150.60980224609375,211.02810668945312,0.16667331755161285,1.1177841424942017,1.3329380750656128,3.8880763053894043,-0.08854392915964127,1.9440381526947021,11.059885025024414,6.1613688468933105,283.96136474609375,89.04315185546875
44000,63000,1061.3719482421875,41.45577813025065,429,286.1159519816283,100.7239549944643,1.0,0.0,400000.0,0.09632516738102055,447.0456930100918,116.6875,2.96875,0.09375,1.1926215952262282,149.41493225097656,236.95147705078125,0.17296208441257477,1.084591269493103,1.361886978149414,3.541663646697998,-0.09761311858892441,1.770831823348999,9.862143516540527,5.583466529846191,282.4410705566406,90.98760986328125
46000,66000,1112.9303588867188,41.33232563267885,447,288.6825950117782,105.8472000004258,1.0,0.0,400000.0,0.09391287031283875,469.90466114878654,116.328125,3.109375,0.09375,1.175726910121739,153.99342346191406,224.6151123046875,0.1486535668373108,1.171012282371521,1.3726750612258911,4.089289665222168,-0.08141840994358063,2.044644832611084,9.96334457397461,6.057926177978516,279.001708984375,85.96116638183594
48000,69000,1161.1554565429688,41.3381341228049,464,290.6507259758655,101.5856149897445,1.0,0.0,400000.0,0.09391287031283875,469.4959034919739,116.71875,3.046875,0.09375,1.183864456601441,153.66392517089844,195.24169921875,0.18945172429084778,1.1442469358444214,1.390434980392456,3.80039119720459,-0.09543867409229279,1.900195598602295,7.330267429351807,5.382692813873291,278.3919372558594,89.6806640625
50000,72000,1209.7187600135803,41.33192081723086,480,290.9873519965913,109.11484298412688,1.0,0.0,400000.0,0.09391287031283875,505.9383919239044,117.078125,3.171875,0.078125,1.145816607400775,153.9459228515625,205.50929260253906,0.167708158493042,1.021605372428894,1.3531947135925293,3.4998960494995117,-0.11685477197170258,1.7499480247497559,8.144216537475586,5.911401271820068,271.67620849609375,93.94627380371094
52000,75000,1298.2140991687775,40.055026388401295,496,283.522235986311,104.56001397687942,1.0,0.0,400000.0,0.09324921676402005,538.8235560655594,118.265625,3.296875,0.0625,1.147558607161045,163.87962341308594,235.97735595703125,0.1620144098997116,0.95892333984375,1.4144089221954346,4.212105751037598,-0.1320628970861435,2.106052875518799,6.304117202758789,5.506335735321045,284.4864807128906,102.4109878540039
54000,78000,1347.0459263324738,40.08772005793653,513,282.0031220035162,101.10408300533891,1.0,0.0,400000.0,0.09324921676402005,608.9310429096222,118.734375,3.453125,0.046875,1.1340671423822641,144.75424194335938,246.75668334960938,0.17214542627334595,0.9896270036697388,1.3147227764129639,3.636528491973877,-0.15527969598770142,1.8182642459869385,10.218681335449219,5.243762493133545,288.6068420410156,109.75215148925781
56000,81000,1398.7397470474243,40.0360396694306,529,294.9736930022482,101.57424199860543,1.0,0.0,400000.0,0.09547582796105016,630.1525415182114,118.515625,3.484375,0.0625,1.1283718096092343,150.07337951660156,195.66134643554688,0.15271255373954773,1.0015487670898438,1.3245835304260254,3.5432655811309814,-0.15514019131660461,1.7716327905654907,8.235358238220215,4.973384380340576,284.8856201171875,110.90204620361328
58000,84000,1447.4288930892944,40.071053076886365,547,284.5313240250107,102.21223297412507,1.0,0.0,400000.0,0.09547582796105016,641.9945744276047,117.765625,3.53125,0.078125,1.0916885854676366,170.79168701171875,232.18637084960938,0.17872044444084167,0.9796572923660278,1.266155481338501,3.6114535331726074,-0.20338521897792816,1.8057267665863037,7.440225124359131,5.249965667724609,276.88153076171875,119.14120483398438
