step,updates,wall_time,env_steps_per_s,episodes,collect_ms,learn_ms,terminal_value_on,sim_buffer,param_err_mean,episode_reward,episode_length,goals_reached,dropped,mean_angle,plan_value,plan_value_max,plan_std,value_loss,reward_loss,pi_loss,pi_loss_q,pi_loss_prior,grad_norm,pi_grad_norm,q_scale,td_target_mean
2000,0,1.7717576026916504,1128.822586657229,16,4.265938012395054,0.00020299921743571758,0.0,0.0,0.09842465323380538,-593.3954372406006,111.5,0.0,0.25,2.048709526658058,,,,,,,,,,,,
4000,3000,164.40532541275024,24.33011211746177,37,897.8606240125373,323.8863740116358,0.0,123673.0,0.09842465323380538,-389.87688621314794,89.35135135135135,0.2702702702702703,0.6486486486486487,1.848461328326045,26.29998207092285,114.22100830078125,0.2024766504764557,1.7954578399658203,1.4521560668945312,0.9373686909675598,0.02077602967619896,6.989019393920898,7.053205490112305,8.365387916564941,195.586669921875,6.608020305633545
6000,6000,324.08719205856323,18.51353631684336,59,832.7048009959981,405.1988910068758,0.0,248129.0,0.09845669582792657,-305.8959843910347,90.71186440677967,0.711864406779661,0.6610169491525424,1.6460006075390314,18.207191467285156,99.73797607421875,0.24999094009399414,1.5948909521102905,1.3354463577270508,0.6189970374107361,0.11049263179302216,3.8773462772369385,9.94935417175293,5.624048709869385,239.48077392578125,-13.878009796142578
8000,9000,480.90417528152466,16.63533071909127,79,919.6112859935965,364.23001301591285,0.0,372865.0,0.09845669582792657,-157.66174000501633,86.03125,1.171875,0.765625,1.3791975434869528,14.848464965820312,96.69163513183594,0.23376351594924927,1.416091799736023,1.3309848308563232,0.6023250222206116,0.07103466242551804,4.051089286804199,8.707923889160156,4.822118282318115,240.96958923339844,-4.99843168258667
10000,12000,639.3182816505432,15.64166126171578,102,837.2952170029748,405.17691799323075,0.0,400000.0,0.09845669582792657,-88.98317136615515,91.140625,1.5625,0.71875,1.2488892609253526,17.598379135131836,119.42001342773438,0.2100006341934204,1.239159107208252,1.0967907905578613,0.3533917963504791,0.08738253265619278,2.028320789337158,9.178169250488281,2.957207441329956,273.6516418457031,-10.393568992614746
12000,15000,805.4058382511139,14.899320851779787,124,1117.1323580201715,213.8148439989891,0.0,400000.0,0.10055556415440035,-51.74667304009199,88.3125,1.640625,0.78125,1.1760618528351188,-2.23649263381958,118.64521789550781,0.22683539986610413,1.2896194458007812,1.2538716793060303,0.15968893468379974,0.005827545188367367,1.173193097114563,14.539304733276367,2.0343003273010254,280.88995361328125,9.946971893310547
14000,18000,963.5730469226837,14.529256546466423,153,1118.461751990253,264.6661740145646,0.0,400000.0,0.10055556415440035,-30.269370071589947,85.15625,1.578125,0.796875,1.2567046452313662,41.00522994995117,133.14173889160156,0.21383875608444214,1.4177231788635254,1.2458573579788208,0.16468694806098938,0.03978390246629715,0.9523857235908508,12.597793579101562,1.7905981540679932,299.3320007324219,0.0594639778137207
16000,21000,1130.9218356609344,14.147750530123298,172,1047.6734620169736,242.71167899132706,0.0,400000.0,0.10101862991102685,9.80173084139824,86.15625,1.59375,0.71875,1.2251081261783838,21.02837371826172,94.67393493652344,0.2769041061401367,1.2925256490707397,1.2569836378097534,0.2630841135978699,0.03570123389363289,1.7337944507598877,9.92440128326416,2.08308744430542,297.76025390625,2.529930353164673
18000,24000,1291.5845081806183,13.936370315679596,195,800.554956018459,405.30280300299637,0.0,400000.0,0.10101862991102685,27.936611771583557,86.265625,1.65625,0.703125,1.135310527868569,16.8101806640625,102.23328399658203,0.26743632555007935,1.3134864568710327,1.2154878377914429,0.17210990190505981,0.030764948576688766,1.077755331993103,9.848067283630371,1.3646676540374756,300.40777587890625,3.6927919387817383
20000,27000,1451.3221061229706,13.780538390218249,218,1009.4228819943964,332.51584399840795,0.0,400000.0,0.10101862991102685,72.10677736997604,88.078125,1.875,0.6875,1.098296425305307,27.66094970703125,88.39192962646484,0.28255629539489746,1.28515625,1.263991355895996,0.13183608651161194,-0.07192554324865341,1.553682565689087,11.01837158203125,1.5973894596099854,304.8702697753906,33.28615951538086
