step,updates,wall_time,env_steps_per_s,episodes,collect_ms,learn_ms,terminal_value_on,dagger_exec_frac,sim_buffer,param_err_mean,episode_reward,episode_length,goals_reached,dropped,mean_angle,plan_value,plan_value_max,plan_std,value_loss,reward_loss,pi_loss,pi_loss_q,pi_loss_prior,grad_norm,pi_grad_norm,q_scale,td_target_mean
2000,0,0.5922524929046631,3376.938086306961,16,3.1317270040744916,0.0001910011633299291,0.0,0.0,0.0,0.09842465323380538,-576.881103515625,112.625,0.0,0.1875,2.049084171652794,,,,,,,,,,,,
4000,3000,46.4391565322876,86.13420868699313,34,252.77286199707305,115.95424999541137,0.0,0.0,125528.0,0.09842465323380538,-393.0514790030087,103.38235294117646,0.38235294117647056,0.38235294117647056,1.8132748919374801,51.53820037841797,97.64376068115234,0.16014695167541504,1.8831051588058472,1.410417079925537,1.031439185142517,0.12751330435276031,6.892435073852539,11.389066696166992,7.244112014770508,197.09971618652344,-11.549962997436523
6000,6000,96.29391241073608,62.30923481857658,53,264.73280600475846,118.4844780000276,0.0,0.0,250752.0,0.0961629748919355,-281.5889069539196,100.50943396226415,0.7735849056603774,0.4716981132075472,1.6247875847906437,45.10400390625,74.9073486328125,0.28270384669303894,1.6392580270767212,1.3951396942138672,0.5902756452560425,0.12146341800689697,3.574693202972412,12.614485740661621,4.419097900390625,218.23162841796875,-11.711458206176758
8000,9000,144.34788513183594,55.42166407698618,74,275.0459500020952,113.95404600625625,0.0,0.0,375504.0,0.0961629748919355,-116.02722170948982,95.90625,1.3125,0.5625,1.3429066753014922,16.553157806396484,127.31011962890625,0.23542599380016327,1.4435142278671265,1.2684537172317505,0.4130236506462097,0.09985742717981339,2.387892723083496,10.776971817016602,2.9701058864593506,234.25242614746094,-11.570938110351562
10000,12000,192.5209186077118,51.94240746573828,96,265.1330310036428,111.89373299566796,0.0,0.0,400000.0,0.0961629748919355,3.843790739774704,89.765625,1.671875,0.671875,1.1527615217491984,21.865921020507812,102.5159912109375,0.2516663372516632,1.427032232284546,1.2598530054092407,0.4381130337715149,0.07520174980163574,2.7671988010406494,12.57443904876709,3.4579410552978516,253.5379638671875,-6.698042869567871
12000,15000,243.47502851486206,49.28636859885408,122,269.60184299969114,114.75394599983701,0.0,0.0,400000.0,0.0956698883753237,91.2201743721962,88.453125,1.90625,0.71875,1.1174413654953241,18.105953216552734,93.9730224609375,0.21751651167869568,1.2963589429855347,1.178508996963501,0.1485397219657898,0.006132430396974087,1.0858557224273682,13.385611534118652,1.8881961107254028,281.2220153808594,11.680170059204102
14000,18000,291.01448130607605,48.10757161350821,150,274.85616199555807,113.05149699910544,0.0,0.0,400000.0,0.0956698883753237,45.32752352952957,81.265625,1.6875,0.828125,1.1641527265310287,40.92869567871094,117.54313659667969,0.18564438819885254,1.3292545080184937,1.281134843826294,0.22765761613845825,0.044657014310359955,1.395379662513733,11.245198249816895,2.105292558670044,282.11236572265625,0.4376711845397949
16000,21000,341.89401936531067,46.7981277639845,172,269.81335800519446,113.85875399719225,0.0,0.0,400000.0,0.09942286821993682,-7.3804914355278015,78.71875,1.4375,0.890625,1.199662427417934,15.50140380859375,103.60442352294922,0.23481595516204834,1.1471251249313354,1.155362844467163,0.22098609805107117,0.021489892154932022,1.5211586952209473,8.014083862304688,2.0345492362976074,280.9759521484375,8.515832901000977
18000,24000,390.27773213386536,46.12100183524177,200,280.63184100028593,110.14872099622153,0.0,0.0,400000.0,0.09942286821993682,-4.497970700263977,80.15625,1.484375,0.875,1.1688104681670666,31.965877532958984,117.35187530517578,0.18932044506072998,1.2326116561889648,1.128017544746399,0.1397058665752411,0.031752631068229675,0.823143482208252,15.289900779724121,1.9146473407745361,290.12750244140625,2.8413853645324707
20000,27000,438.79054713249207,45.57983331842615,217,275.4821499984246,113.62520400143694,0.0,0.0,400000.0,0.09942286821993682,29.80446481704712,83.515625,1.6875,0.875,1.0929405353963375,18.86882209777832,99.47676086425781,0.21431982517242432,1.2038034200668335,1.1249196529388428,0.13789479434490204,-0.003780533093959093,1.0802743434906006,9.589069366455078,1.5920002460479736,300.5560607910156,16.24617576599121
22000,30000,491.4354758262634,44.766812902570415,236,288.361958002497,112.65949099470163,1.0,0.0,400000.0,0.09774340580269968,117.20454587042332,90.984375,2.125,0.734375,1.029253339394927,116.76190185546875,228.35018920898438,0.24287331104278564,1.1326979398727417,1.183813452720642,0.18284767866134644,-0.08625810593366623,2.051931858062744,9.160073280334473,1.738126277923584,316.8447265625,42.963706970214844
24000,33000,541.7518429756165,44.30072608184963,256,293.60229700250784,114.29992000194034,1.0,0.0,400000.0,0.09774340580269968,227.1863433867693,98.296875,2.578125,0.59375,1.0322371665388346,148.36529541015625,209.45553588867188,0.2099098265171051,1.2522448301315308,1.264757513999939,0.29080140590667725,-0.07466138899326324,2.786653995513916,10.45367431640625,1.8350478410720825,320.5414123535156,39.28700637817383
26000,36000,628.9397876262665,41.33941040386194,273,285.01548300118884,113.4597480049706,1.0,0.0,400000.0,0.09783004490439981,304.069712176919,106.203125,2.71875,0.421875,1.0839070128276944,167.37338256835938,235.4300537109375,0.21382537484169006,1.086516261100769,1.2948026657104492,0.3156988322734833,-0.1608584225177765,3.63374924659729,11.072608947753906,2.0406155586242676,316.7691345214844,68.33685302734375
28000,39000,679.0230338573456,41.23571455439383,290,298.3727840037318,113.07450800086372,1.0,0.0,400000.0,0.09783004490439981,389.6308157444,108.546875,2.921875,0.28125,1.1309089390560985,122.97044372558594,227.64947509765625,0.23318327963352203,1.2540531158447266,1.3657265901565552,0.5050397515296936,-0.18271446228027344,5.244126319885254,12.009326934814453,2.4095935821533203,320.9443054199219,72.83305358886719
30000,42000,729.2902774810791,41.135883647891255,309,279.4226019977941,116.89720000140369,1.0,0.0,400000.0,0.09783004490439981,388.60828322172165,110.46875,2.828125,0.234375,1.1551549164578319,167.20335388183594,260.94866943359375,0.16333892941474915,1.1112779378890991,1.2223145961761475,0.39327606558799744,-0.16909196972846985,4.288056373596191,12.142951011657715,2.3719332218170166,326.3994445800781,71.72836303710938
32000,45000,782.0522756576538,40.91798080005602,326,285.2919049983029,116.8280150013743,1.0,0.0,400000.0,0.09777828298297264,425.01460087299347,112.96875,3.0,0.203125,1.1341261398047209,151.67799377441406,214.33642578125,0.20785266160964966,1.1990374326705933,1.1660065650939941,0.3828131854534149,-0.18574514985084534,4.335257530212402,9.117669105529785,2.18550968170166,324.3701171875,77.23675537109375
