step,updates,wall_time,env_steps_per_s,episodes,collect_ms,learn_ms,terminal_value_on,dagger_exec_frac,sim_buffer,param_err_mean,episode_reward,episode_length,goals_reached,dropped,mean_angle,plan_value,plan_value_max,plan_std,value_loss,reward_loss,pi_loss,pi_loss_q,pi_loss_prior,grad_norm,pi_grad_norm,q_scale,td_target_mean
2000,0,0.5599427223205566,3571.7939001179443,16,3.470605006441474,0.00019499566406011581,0.0,0.0,0.0,0.09842465323380538,-589.2138080596924,112.625,0.0,0.1875,2.0480979159474373,,,,,,,,,,,,
4000,3000,43.483497858047485,91.98891986698169,38,215.3177240397781,117.82004695851356,0.0,0.0,123704.0,0.09842465323380538,-337.8182561272069,96.02631578947368,0.6052631578947368,0.5263157894736842,1.734483700049551,65.20681762695312,141.73544311523438,0.19116458296775818,1.6043928861618042,1.4470303058624268,0.692575991153717,0.08817463368177414,4.608560562133789,7.417362689971924,5.90043306350708,214.515380859375,-6.859107971191406
6000,6000,90.10191440582275,66.59125990348831,58,240.4242049669847,117.03634390141815,0.0,0.0,248380.0,0.09571761120667821,-269.41573616553995,91.96551724137932,0.7586206896551724,0.603448275862069,1.6182927705090622,18.900634765625,127.58968353271484,0.2964487671852112,1.6599549055099487,1.4009432792663574,0.5575586557388306,0.014171427115797997,4.143327713012695,11.076862335205078,4.7961106300354,258.3664855957031,11.658970832824707
8000,9000,136.21770668029785,58.729516117724344,76,247.3638850497082,117.67800303641707,0.0,0.0,373451.0,0.09571761120667821,-97.61328852176666,91.15625,1.328125,0.6875,1.3908258201554418,20.983251571655273,113.01526641845703,0.273943692445755,1.3633674383163452,1.2623744010925293,0.5302129983901978,-0.0015147440135478973,4.054424285888672,9.813908576965332,4.472909450531006,270.0350036621094,12.836395263671875
10000,12000,181.62986207008362,55.05702578875166,100,247.86743195727468,115.41917501017451,0.0,0.0,400000.0,0.09571761120667821,35.72338283061981,89.578125,1.71875,0.71875,1.2345153512433171,20.186159133911133,95.09104919433594,0.19511809945106506,1.422584891319275,1.3581669330596924,0.2280901074409485,-0.03336554393172264,1.9935994148254395,8.986042022705078,2.6212286949157715,281.2776184082031,23.306251525878906
12000,15000,230.77226185798645,51.99931700363802,120,246.25349196139723,116.4679960347712,0.0,0.0,400000.0,0.09401345247170391,111.58827590942383,92.78125,2.0,0.71875,1.1468829810619354,28.899396896362305,132.46356201171875,0.27448010444641113,1.354319453239441,1.1776165962219238,0.15672586858272552,-0.022424127906560898,1.3660187721252441,13.9912748336792,1.957720398902893,304.1055908203125,17.993057250976562
14000,18000,276.4074468612671,50.64986547568237,138,241.3705060025677,119.0908970311284,0.0,0.0,400000.0,0.09401345247170391,126.88923701643944,93.09375,2.046875,0.6875,1.1167320455424488,12.068144798278809,117.12525177001953,0.27202752232551575,1.3921419382095337,1.276206374168396,0.10697034746408463,-0.06508699804544449,1.3119373321533203,12.243537902832031,1.8022323846817017,308.67120361328125,33.68153381347656
16000,21000,325.1202886104584,49.21255473899489,163,245.197111973539,113.20564500056207,0.0,0.0,400000.0,0.09615702228826928,155.69178879261017,96.953125,2.28125,0.6875,1.0763303297571838,29.515052795410156,137.09005737304688,0.21877112984657288,1.248649001121521,1.1410918235778809,0.15980440378189087,-0.05997571349143982,1.675823450088501,11.807524681091309,1.8949998617172241,315.7917785644531,32.23048400878906
18000,24000,371.1613829135895,48.49642454368859,184,244.68634196091443,119.65317791327834,0.0,0.0,400000.0,0.09615702228826928,200.23800486326218,96.828125,2.421875,0.6875,1.0635985876433551,13.28756332397461,77.73210144042969,0.20851871371269226,1.2455958127975464,1.192392110824585,0.0588323250412941,-0.0665958896279335,0.9563901424407959,12.010710716247559,1.3970520496368408,313.1075744628906,34.67628860473633
20000,27000,416.97572469711304,47.96442290382203,207,249.43523202091455,112.56854399107397,0.0,0.0,400000.0,0.09615702228826928,198.79616767168045,90.484375,2.328125,0.796875,1.1036533024162054,42.80702209472656,107.40608978271484,0.23569099605083466,1.2172679901123047,1.3325761556625366,0.1269933134317398,-0.08270692825317383,1.5989644527435303,11.073699951171875,1.7158007621765137,312.0860290527344,39.334571838378906
