step,updates,wall_time,env_steps_per_s,episodes,collect_ms,learn_ms,terminal_value_on,dagger_exec_frac,sim_buffer,param_err_mean,episode_reward,episode_length,goals_reached,dropped,mean_angle,plan_value,plan_value_max,plan_std,value_loss,reward_loss,pi_loss,pi_loss_q,pi_loss_prior,grad_norm,pi_grad_norm,q_scale,td_target_mean
2000,0,0.6800098419189453,2941.133902350773,16,3.811670991126448,0.0002050073817372322,0.0,0.0,0.0,0.09842465323380538,-551.4333953857422,111.5625,0.0,0.25,2.029991537332535,,,,,,,,,,,,
4000,3000,52.01248908042908,76.90460638818176,34,244.32364897802472,173.01388300256804,0.0,0.0,125280.0,0.09842465323380538,-397.4811114142923,99.70588235294117,0.35294117647058826,0.47058823529411764,1.8395233154296875,38.016090393066406,145.19654846191406,0.1927248239517212,1.6328598260879517,1.4015781879425049,0.7369658350944519,0.09253452718257904,4.913788795471191,7.181110382080078,6.392305850982666,209.5354766845703,-6.321843147277832
6000,6000,106.29626321792603,56.44601059680664,58,267.36080000409856,149.9262599973008,0.0,0.0,248880.0,0.09532488455841501,-298.0215000284129,91.93103448275862,0.5862068965517241,0.603448275862069,1.6321622760131442,31.78685760498047,107.69818878173828,0.2925756871700287,1.3875174522399902,1.2804310321807861,0.5346492528915405,0.06605017185211182,3.573068141937256,9.179094314575195,4.805241107940674,258.69775390625,-5.299859046936035
8000,9000,159.58900952339172,50.1287652820942,80,265.341469028499,145.61911899363622,0.0,0.0,373400.0,0.09532488455841501,-106.39633572101593,85.78125,1.15625,0.71875,1.3614986035972834,27.109752655029297,107.79515075683594,0.213340625166893,1.4584976434707642,1.2764263153076172,0.34573090076446533,0.01995452679693699,2.4840450286865234,9.8698148727417,3.2484097480773926,286.7868957519531,8.94180965423584
10000,12000,212.95242547988892,46.95884527947954,102,265.5781279900111,168.15780103206635,0.0,0.0,400000.0,0.09532488455841501,28.049959510564804,88.3125,1.6875,0.703125,1.1574097932316363,18.255830764770508,119.58280181884766,0.25849449634552,1.4047468900680542,1.3184752464294434,0.16327309608459473,-0.04199936240911484,1.5652024745941162,11.449671745300293,2.273341178894043,294.86566162109375,22.23153305053711
12000,15000,269.6015815734863,44.51012464379448,128,281.8531900411472,149.41509201889858,0.0,0.0,400000.0,0.09468005209960385,111.44482105970383,83.5,1.953125,0.75,1.0657914490438998,26.45306968688965,92.70868682861328,0.23830276727676392,1.202039122581482,1.1801221370697021,0.15001031756401062,-0.038099102675914764,1.4343345165252686,12.842071533203125,1.9354844093322754,306.0711669921875,20.981563568115234
14000,18000,323.2592067718506,43.30889795779552,152,267.50489900587127,154.76190397748724,0.0,0.0,400000.0,0.09468005209960385,116.70890268683434,84.609375,1.96875,0.78125,1.0914537934586406,39.45283508300781,132.64260864257812,0.29234588146209717,1.2321370840072632,1.2124568223953247,0.06918753683567047,-0.07442821562290192,1.0950701236724854,8.62467098236084,1.6836397647857666,297.927490234375,34.28717803955078
16000,21000,379.4187729358673,42.16976370514081,178,271.3273669942282,159.78026599623263,0.0,0.0,400000.0,0.09552212576140315,93.79156565666199,76.109375,1.84375,0.890625,1.1137394616380334,48.77599334716797,131.75489807128906,0.24675294756889343,1.0586920976638794,1.2349916696548462,0.15575914084911346,-0.06309913098812103,1.6687943935394287,10.628873825073242,2.160316228866577,293.7097473144531,31.99399185180664
18000,24000,432.2864947319031,41.639052386226645,200,256.8422770127654,141.3322240114212,0.0,0.0,400000.0,0.09552212576140315,117.96822136640549,80.0625,1.859375,0.796875,1.0686759632080793,8.206911087036133,92.74217224121094,0.2501870095729828,1.3226782083511353,1.2856431007385254,0.2077062577009201,-0.02731122076511383,1.792008399963379,12.066472053527832,1.824475646018982,291.42242431640625,20.96366310119629
20000,27000,482.83454036712646,41.42205730516476,223,254.37962502473965,141.9170160079375,0.0,0.0,400000.0,0.09552212576140315,101.71430003643036,81.90625,1.859375,0.796875,1.0588309988379478,26.650602340698242,94.76615905761719,0.23663437366485596,1.2143267393112183,1.162717342376709,0.11637566983699799,-0.021202923730015755,1.0490368604660034,10.954900741577148,1.4302372932434082,293.54034423828125,19.28351402282715
22000,30000,539.271265745163,40.79579498751984,242,287.4595269677229,165.5272000352852,1.0,0.0,400000.0,0.0947216376878157,122.23266011476517,91.640625,2.015625,0.671875,1.0754878651350737,98.31970977783203,181.75579833984375,0.1482432633638382,1.3205317258834839,1.1952370405197144,0.25223514437675476,-0.06462597846984863,2.4160661697387695,14.264984130859375,1.6375958919525146,313.0695495605469,35.843902587890625
24000,33000,594.1994857788086,40.39047588293273,261,283.4886059863493,151.93514397833496,1.0,0.0,400000.0,0.0947216376878157,161.86834171414375,98.546875,2.171875,0.546875,1.1398600665852427,145.55545043945312,231.3778076171875,0.16926321387290955,1.1587904691696167,1.168157935142517,0.21445980668067932,-0.10117610543966293,2.406723976135254,10.434412956237793,1.6805447340011597,308.9338073730469,45.57768630981445
26000,36000,684.4661173820496,37.985810166097,278,281.0460070031695,181.94132699863985,1.0,0.0,400000.0,0.09490612444202705,237.92136189341545,103.9375,2.265625,0.390625,1.2223190572112799,135.74143981933594,287.82891845703125,0.14769752323627472,1.172389268875122,1.2939493656158447,0.4738377630710602,-0.15930762887001038,4.827733993530273,9.452649116516113,2.2977535724639893,310.1789855957031,64.64726257324219
28000,39000,740.0448379516602,37.83554531303813,296,285.0175020284951,153.26011198339984,1.0,0.0,400000.0,0.09490612444202705,341.7724928557873,112.296875,2.5625,0.1875,1.2170557472854853,161.09239196777344,259.802490234375,0.19403332471847534,1.1702007055282593,1.4141051769256592,0.337662935256958,-0.2017367035150528,4.112922191619873,7.248157978057861,2.3427393436431885,300.08367919921875,75.04366302490234
30000,42000,795.5040483474731,37.71193881705567,313,280.0567470258102,190.57815498672426,1.0,0.0,400000.0,0.09490612444202705,439.51750734448433,113.75,2.90625,0.171875,1.166363681666553,160.73184204101562,237.2955322265625,0.20304973423480988,1.17559015750885,1.3143494129180908,0.4343082308769226,-0.15557503700256348,4.497859954833984,11.894771575927734,2.1660096645355225,309.0727233886719,64.19043731689453
32000,45000,853.975269317627,37.47181112817208,329,269.27335403161123,179.07043802551925,1.0,0.0,400000.0,0.09422280621708075,477.3774396777153,115.828125,3.03125,0.125,1.1352477353066206,178.15769958496094,240.88583374023438,0.21705496311187744,1.0705255270004272,1.1898285150527954,0.3403657376766205,-0.20472916960716248,4.156348705291748,8.01821517944336,2.16135573387146,311.3272399902344,77.5057373046875
34000,48000,908.9777865409851,37.40465444087832,345,280.80204100115225,158.43856101855636,1.0,0.0,400000.0,0.09422280621708075,543.6207911968231,115.296875,3.328125,0.15625,1.048414501361549,137.0799102783203,211.0555877685547,0.2621443271636963,1.0603094100952148,1.2145756483078003,0.3304011821746826,-0.23733989894390106,4.329026222229004,7.202718257904053,2.1382803916931152,299.4897766113281,85.63829803466797
36000,51000,967.0414226055145,37.226947221148656,364,287.6863349811174,151.65798598900437,1.0,0.0,400000.0,0.09408382911361883,547.6735533475876,115.71875,3.421875,0.1875,0.9931006184779108,140.13172912597656,192.66612243652344,0.19622232019901276,1.1529581546783447,1.2126842737197876,0.48640429973602295,-0.19190262258052826,5.172090530395508,9.371108055114746,2.269897699356079,295.9741516113281,72.02185821533203
38000,54000,1022.4432377815247,37.165877376676264,381,286.0723370104097,144.80531500885263,1.0,0.0,400000.0,0.09408382911361883,530.0157400369644,116.71875,3.40625,0.140625,1.0179274692200124,158.0111541748047,219.11341857910156,0.1856534630060196,1.098633050918579,1.2233319282531738,0.3820574879646301,-0.2362687736749649,4.714737892150879,9.966619491577148,2.046941041946411,299.46990966796875,87.60572052001953
40000,57000,1076.5772726535797,37.154787692486586,398,268.97018298041075,154.74215697031468,1.0,0.0,400000.0,0.09408382911361883,500.4454401731491,117.640625,3.3125,0.140625,1.0186901497654617,172.08706665039062,221.0662384033203,0.16789591312408447,1.11963951587677,1.318713903427124,0.45515918731689453,-0.22050131857395172,5.151911735534668,12.119426727294922,2.3613905906677246,295.82684326171875,81.74900817871094
42000,60000,1134.4787809848785,37.02140639733994,414,282.85842295736074,173.7442429875955,1.0,0.0,400000.0,0.09070459168161389,538.6800903081894,118.484375,3.484375,0.09375,1.018247663974762,162.3641357421875,187.57420349121094,0.2194521725177765,1.1616393327713013,1.1738996505737305,0.44254595041275024,-0.23018378019332886,5.12956428527832,10.388983726501465,2.0782527923583984,290.67266845703125,81.46479797363281
44000,63000,1189.7670321464539,36.98202993624708,431,277.924706984777,148.14440096961334,1.0,0.0,400000.0,0.09070459168161389,556.2047847509384,118.71875,3.59375,0.078125,1.0331999203190207,159.0376434326172,209.9591522216797,0.19755502045154572,1.0785348415374756,1.2641528844833374,0.34751513600349426,-0.23609444499015808,4.450023174285889,7.266798973083496,1.950517177581787,282.1226501464844,81.72592163085938
46000,116000,15676.02414560318,2.934417526583238,450,278.6495519685559,163.43592503108084,1.0,0.0,400000.0,0.08759310568207568,570.1274820864201,118.203125,3.515625,0.078125,1.043466885574162,153.1727294921875,238.99472045898438,0.16422000527381897,0.7767623662948608,0.812647819519043,-0.00513128936290741,-0.20624375343322754,1.5334826707839966,6.579738616943359,1.4767820835113525,347.2588195800781,92.22227478027344
48000,119000,15732.14874625206,3.0510771779624353,467,273.28995196148753,162.93350799242035,1.0,0.0,400000.0,0.08759310568207568,609.3216523230076,118.421875,3.625,0.0625,1.055344244465232,147.99789428710938,218.25772094726562,0.20811904966831207,1.0166388750076294,0.9061849117279053,0.12193527817726135,-0.1860376000404358,2.3482933044433594,8.053096771240234,1.4636716842651367,308.1091613769531,73.47015380859375
50000,122000,15786.801260709763,3.1672027267765857,484,285.29519896255806,154.95017898501828,1.0,0.0,400000.0,0.08759310568207568,591.8279260694981,117.890625,3.5,0.078125,1.0819081356748939,131.4235076904297,223.258544921875,0.1981630027294159,1.09837007522583,1.1931777000427246,0.5149433612823486,-0.16701360046863556,5.19992208480835,7.578176975250244,2.0436551570892334,281.80633544921875,64.43434143066406
52000,125000,15882.430233001709,3.2740581407970226,502,277.21337700495496,155.08017397951335,1.0,0.0,400000.0,0.08895551188224475,592.4922371208668,117.1875,3.5,0.078125,1.0749969314783812,150.7261962890625,209.75318908691406,0.25395265221595764,1.098227620124817,1.1947343349456787,0.545731782913208,-0.1806216537952423,5.538444995880127,8.082921028137207,2.0114243030548096,283.6798400878906,64.46049499511719
54000,128000,15938.195833921432,3.388087369655179,518,284.41377403214574,146.72115998109803,1.0,0.0,400000.0,0.08895551188224475,606.5220766812563,117.921875,3.5625,0.0625,1.0521256141364574,159.07601928710938,222.50140380859375,0.20589834451675415,1.0238109827041626,1.153712272644043,0.543400764465332,-0.20956015586853027,5.741327285766602,6.251650810241699,1.8323439359664917,279.0378112792969,74.80949401855469
56000,131000,15996.95936179161,3.500665266035168,534,276.6127809882164,166.0056750406511,1.0,0.0,400000.0,0.08746496489878568,652.021744325757,118.015625,3.828125,0.046875,1.0044472264125943,161.37814331054688,207.28530883789062,0.2256671041250229,0.9965202212333679,1.235400915145874,0.4209866523742676,-0.2357950061559677,5.007960319519043,6.8602824211120605,1.8247175216674805,283.0787658691406,80.92830657958984
58000,134000,16052.139419317245,3.613225532429804,550,279.2057219776325,148.29338900744915,1.0,0.0,400000.0,0.08746496489878568,695.6250091344118,118.546875,4.078125,0.03125,0.959470784291625,159.080078125,207.78048706054688,0.24337774515151978,0.9946945309638977,1.1467273235321045,0.47226256132125854,-0.2705489993095398,5.663938522338867,8.376686096191406,1.9986402988433838,284.0890197753906,90.9526138305664
