step,updates,wall_time,env_steps_per_s,episodes,collect_ms,learn_ms,terminal_value_on,dagger_exec_frac,sim_buffer,param_err_mean,episode_reward,episode_length,goals_reached,dropped,mean_angle,value_loss,reward_loss,pi_loss,pi_loss_q,pi_loss_prior,grad_norm,pi_grad_norm,q_scale,td_target_mean
2000,0,0.49397945404052734,4048.7513876152325,16,3.1081959896255285,0.00015599653124809265,0.0,0.0,0.0,0.09842465323380538,-609.8348445892334,112.625,0.0,0.1875,2.0321418046951294,,,,,,,,,
4000,3000,12.335380554199219,324.2704983786104,48,3.4569020208436996,85.67541002412327,0.0,0.0,0.0,0.09842465323380538,-1806.5001672108967,74.4375,0.0,0.7083333333333334,1.9158568953474362,nan,nan,nan,nan,0.0,nan,nan,nan,nan
6000,6000,24.245035648345947,247.47334204927571,92,3.4697259834501892,86.22255097725429,0.0,0.0,0.0,0.09842465323380538,-2475.348415374756,50.65625,0.0,0.984375,1.9405072070658207,nan,nan,nan,nan,0.0,nan,nan,nan,nan
8000,9000,35.7269606590271,223.9205309500249,128,3.5041759838350117,91.15413899417035,0.0,0.0,0.0,0.09842465323380538,-2435.9375,48.71875,0.0,1.0,2.0876045878976583,nan,nan,nan,nan,0.0,nan,nan,nan,nan
10000,12000,47.23103713989258,211.7251833869584,175,6.425325002055615,86.5586049912963,0.0,0.0,0.0,0.09842465323380538,-2468.75,49.375,0.0,1.0,2.0342446491122246,nan,nan,nan,nan,0.0,nan,nan,nan,nan
12000,15000,59.096380949020386,203.05811975782112,213,6.577781983651221,88.174946984509,0.0,0.0,0.0,0.09842465323380538,-2432.03125,48.640625,0.0,1.0,1.9724038941785693,nan,nan,nan,nan,0.0,nan,nan,nan,nan
14000,18000,70.81087517738342,197.70974394723365,253,3.6895830126013607,92.0953230233863,0.0,0.0,0.0,0.09842465323380538,-2475.78125,49.515625,0.0,1.0,1.8819375429302454,nan,nan,nan,nan,0.0,nan,nan,nan,nan
16000,21000,82.69068455696106,193.49217007604383,293,3.5414620069786906,88.88193799066357,0.0,0.0,0.0,0.09842465323380538,-2428.125,48.5625,0.0,1.0,1.8609500732272863,nan,nan,nan,nan,0.0,nan,nan,nan,nan
18000,24000,94.41425609588623,190.64917465132987,335,3.581044002203271,99.14988299715333,0.0,0.0,0.0,0.09842465323380538,-2443.75,48.875,0.0,1.0,2.0112711638212204,nan,nan,nan,nan,0.0,nan,nan,nan,nan
20000,27000,106.11482810974121,188.4750732415692,377,6.762739998521283,87.80227901297621,0.0,0.0,0.0,0.09842465323380538,-2403.125,48.0625,0.0,1.0,2.0668077217414975,nan,nan,nan,nan,0.0,nan,nan,nan,nan
22000,30000,118.13368773460388,186.22968961592596,416,3.5644840099848807,88.75762901152484,0.0,0.0,0.0,0.09842465323380538,-2435.15625,48.703125,0.0,1.0,1.9639651738107204,nan,nan,nan,nan,0.0,nan,nan,nan,nan
24000,33000,129.83089876174927,184.85584116645484,458,6.813593005063012,88.75182800693437,0.0,0.0,0.0,0.09842465323380538,-2482.03125,49.640625,0.0,1.0,1.9141816217452288,nan,nan,nan,nan,0.0,nan,nan,nan,nan
