step,updates,wall_time,env_steps_per_s,episodes,collect_ms,learn_ms,terminal_value_on,dagger_exec_frac,sim_buffer,param_err_mean,episode_reward,episode_length,goals_reached,dropped,mean_angle,value_loss,reward_loss,pi_loss,pi_loss_q,pi_loss_prior,grad_norm,pi_grad_norm,q_scale,td_target_mean
2000,0,0.607835054397583,3290.366334633616,16,3.37307300651446,0.00020701554603874683,0.0,0.0,0.0,0.09842465323380538,-607.3591384887695,114.375,0.0,0.1875,2.04672659188509,,,,,,,,,
4000,3000,14.927844047546387,267.95563962616956,49,5.195631994865835,119.5966950035654,0.0,0.0,0.0,0.09842465323380538,-1787.0689871651787,73.36734693877551,0.0,0.7346938775510204,1.8914703970052757,nan,nan,nan,nan,0.0,nan,nan,nan,nan
6000,6000,29.650883197784424,202.35484926291613,91,8.604992995969951,105.90997798135504,0.0,0.0,0.0,0.09842465323380538,-2468.8159675598145,49.96875,0.0,1.0,1.8659469559788704,nan,nan,nan,nan,0.0,nan,nan,nan,nan
8000,9000,43.6993362903595,183.06914198522688,130,8.560123009374365,105.23176199058071,0.0,0.0,0.0,0.09842465323380538,-2479.6875,49.59375,0.0,1.0,1.9997804164886475,nan,nan,nan,nan,0.0,nan,nan,nan,nan
10000,12000,58.01644825935364,172.36491202109673,170,10.68467801087536,102.45731999748386,0.0,0.0,0.0,0.09842465323380538,-2527.34375,50.546875,0.0,1.0,2.063960814848542,nan,nan,nan,nan,0.0,nan,nan,nan,nan
12000,15000,72.4600477218628,165.608502578716,212,6.927590002305806,106.77439300343394,0.0,0.0,0.0,0.09842465323380538,-2451.5625,49.03125,0.0,1.0,1.9994340725243092,nan,nan,nan,nan,0.0,nan,nan,nan,nan
14000,18000,86.53535079956055,161.78359330197685,254,5.25322399334982,105.55333201773465,0.0,0.0,0.0,0.09842465323380538,-2415.625,48.3125,0.0,1.0,1.8766603050753474,nan,nan,nan,nan,0.0,nan,nan,nan,nan
16000,21000,100.78834271430969,158.74851762721124,292,3.695344988955185,106.16264698910527,0.0,0.0,0.0,0.09842465323380538,-2432.8125,48.65625,0.0,1.0,1.8597945235669613,nan,nan,nan,nan,0.0,nan,nan,nan,nan
18000,24000,115.0104341506958,156.50753892829385,337,3.730572003405541,107.91571700247005,0.0,0.0,0.0,0.09842465323380538,-2410.9375,48.21875,0.0,1.0,2.0594037948176265,nan,nan,nan,nan,0.0,nan,nan,nan,nan
20000,27000,129.30270290374756,154.6758076270681,375,3.702771005919203,105.24789500050247,0.0,0.0,0.0,0.09842465323380538,-2449.21875,48.984375,0.0,1.0,2.0366083942353725,nan,nan,nan,nan,0.0,nan,nan,nan,nan
22000,30000,143.60672330856323,153.19617002004352,417,3.4634539915714413,104.6120359969791,0.0,0.0,0.0,0.09842465323380538,-2460.15625,49.203125,0.0,1.0,1.966856211423874,nan,nan,nan,nan,0.0,nan,nan,nan,nan
24000,33000,157.69553804397583,152.19200427413,455,3.6460880073718727,109.03166700154543,0.0,0.0,0.0,0.09842465323380538,-2532.8125,50.65625,0.0,1.0,1.8558328906074166,nan,nan,nan,nan,0.0,nan,nan,nan,nan
